# TEST CONFIGURATION BEGIN
# HyperplaneGenerator(mag_change=0.0, n_drift_features=2, n_features=10, noise_percentage=0.05, random_state=None, sigma_percentage=0.1)
# [HTRA] HoeffdingAdaptiveTreeRegressor(binary_split=False, grace_period=200, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.02, max_byte_size=33554432, memory_estimate_period=1000000, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=1e-07, stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_HTRA_incremental1.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[HTRA],current_mse_[HTRA],training_time_[HTRA],testing_time_[HTRA],total_running_time_[HTRA]
59799,0.104601,0.088272,32.378905,1.540416,33.919321
59999,0.104534,0.084527,32.504316,1.545806,34.050122
60199,0.104489,0.090931,32.625813,1.551169,34.176982
60399,0.104517,0.112933,32.759021,1.556539,34.315560
60599,0.104446,0.083186,32.879626,1.561929,34.441555
60799,0.104493,0.118738,33.017589,1.567315,34.584904
60999,0.104479,0.100231,33.157970,1.572745,34.730714
61199,0.104456,0.097267,33.278084,1.578120,34.856204
61399,0.104388,0.083586,33.414783,1.583549,34.998332
61599,0.104395,0.106640,33.536102,1.588933,35.125034
61799,0.104428,0.114609,33.657711,1.594303,35.252014
61999,0.104465,0.115862,33.785147,1.599693,35.384840
62199,0.104393,0.082072,33.923262,1.605119,35.528381
62399,0.104297,0.074512,34.052924,1.610523,35.663447
62599,0.104265,0.094136,34.201272,1.615955,35.817227
62799,0.104286,0.110878,34.330086,1.621368,35.951454
62999,0.104315,0.113352,34.458963,1.626770,36.085733
63199,0.104296,0.098468,34.594520,1.632172,36.226693
63399,0.104213,0.077844,34.758659,1.637606,36.396266
63599,0.104192,0.097656,34.892697,1.643061,36.535758
63799,0.104207,0.108794,35.024487,1.648460,36.672948
63999,0.104152,0.086720,35.151264,1.653899,36.805163
64199,0.104161,0.106996,35.302226,1.659298,36.961525
64399,0.104162,0.104539,35.520978,1.664734,37.185712
64599,0.104102,0.084883,35.668028,1.670156,37.338184
64799,0.104061,0.090785,35.810376,1.675588,37.485964
64999,0.104066,0.105758,35.934696,1.680993,37.615689
65199,0.104056,0.100607,36.063636,1.686423,37.750059
65399,0.104071,0.109173,36.223247,1.691899,37.915146
65599,0.104037,0.092920,36.371380,1.697299,38.068680
