# TEST CONFIGURATION BEGIN
# HyperplaneGenerator(mag_change=0.0, n_drift_features=2, n_features=10, noise_percentage=0.05, random_state=None, sigma_percentage=0.1)
# [AXGBRegR] AdaptiveSemiRegressorJULIA(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegR_incremental2.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegR],current_mse_[AXGBRegR],training_time_[AXGBRegR],testing_time_[AXGBRegR],total_running_time_[AXGBRegR]
61199,0.149671,0.176216,1.662776,12.932363,14.595139
61399,0.149672,0.149799,1.664945,12.975024,14.639969
61599,0.149730,0.167711,1.667225,13.017511,14.684735
61799,0.149752,0.156426,1.669591,13.059944,14.729535
61999,0.149729,0.142529,1.672055,13.102372,14.774427
62199,0.149655,0.126817,1.680532,13.144877,14.825409
62399,0.149633,0.142729,1.682687,13.187382,14.870069
62599,0.149706,0.172663,1.684964,13.229834,14.914798
62799,0.149863,0.198761,1.687367,13.272360,14.959726
62999,0.149857,0.148030,1.689879,13.314898,15.004777
63199,0.149899,0.163066,1.698187,13.357349,15.055536
63399,0.149934,0.160977,1.700337,13.399728,15.100064
63599,0.149958,0.157791,1.702615,13.442157,15.144772
63799,0.149946,0.146012,1.704985,13.484598,15.189583
63999,0.149992,0.164714,1.707459,13.527125,15.234584
64199,0.149921,0.127290,1.741506,13.569620,15.311126
64399,0.149914,0.147590,1.743655,13.611877,15.355532
64599,0.149878,0.138250,1.745925,13.654224,15.400148
64799,0.149894,0.154909,1.748327,13.696624,15.444951
64999,0.149814,0.124143,1.750823,13.738938,15.489761
65199,0.149799,0.144854,1.758571,13.781319,15.539890
65399,0.149771,0.140573,1.760717,13.823528,15.584245
65599,0.149685,0.121753,1.762954,13.865787,15.628741
65799,0.149794,0.185528,1.765300,13.908052,15.673352
65999,0.149731,0.128845,1.767771,13.950686,15.718457
66199,0.149716,0.144695,1.775810,13.993002,15.768812
66399,0.149635,0.122926,1.777959,14.035313,15.813273
66599,0.149577,0.130228,1.780215,14.077565,15.857779
66799,0.149602,0.157892,1.782556,14.119812,15.902368
66999,0.149558,0.134947,1.785010,14.162167,15.947177
67199,0.149577,0.155891,1.793085,14.204448,15.997533
67399,0.149588,0.153328,1.795229,14.246615,16.041844
67599,0.149510,0.123354,1.797486,14.288778,16.086264
67799,0.149473,0.136724,1.799821,14.330974,16.130794
67999,0.149491,0.155716,1.802268,14.373327,16.175595
68199,0.149400,0.118613,1.810471,14.415605,16.226076
68399,0.149460,0.169705,1.812606,14.457838,16.270444
68599,0.149400,0.129145,1.814863,14.500120,16.314983
68799,0.149348,0.131266,1.817198,14.542424,16.359622
68999,0.149288,0.128587,1.819646,14.584743,16.404389
69199,0.149299,0.153282,1.827789,14.627113,16.454902
69399,0.149370,0.173878,1.829925,14.669149,16.499074
69599,0.149325,0.133686,1.832207,14.711237,16.543443
69799,0.149303,0.141843,1.834561,14.753319,16.587880
69999,0.149254,0.131861,1.837024,14.795408,16.632432
70199,0.149244,0.146040,1.845165,14.837702,16.682867
70399,0.149291,0.165654,1.847291,14.879949,16.727240
70599,0.149275,0.143599,1.849545,14.922285,16.771830
70799,0.149284,0.152564,1.851916,14.964607,16.816524
70999,0.149208,0.122334,1.854386,15.006952,16.861338
71199,0.149252,0.164796,1.862594,15.049333,16.911928
71399,0.149337,0.179414,1.864729,15.091655,16.956384
71599,0.149310,0.139864,1.866983,15.133953,17.000936
71799,0.149294,0.143390,1.869354,15.176279,17.045632
71999,0.149203,0.116677,1.871818,15.218670,17.090488
72199,0.149232,0.159614,1.880121,15.261066,17.141188
72399,0.149186,0.132653,1.882249,15.303277,17.185526
72599,0.149194,0.151978,1.884510,15.345539,17.230049
72799,0.149144,0.130941,1.886861,15.387743,17.274605
72999,0.149180,0.162407,1.889358,15.429993,17.319351
73199,0.149159,0.141443,1.897600,15.472296,17.369896
73399,0.149153,0.147109,1.899746,15.514581,17.414327
73599,0.149219,0.173530,1.902016,15.556891,17.458908
73799,0.149196,0.140720,1.904400,15.599213,17.503612
73999,0.149206,0.152808,1.906902,15.641576,17.548478
74199,0.149181,0.139800,1.915319,15.684063,17.599381
74399,0.149258,0.177938,1.917470,15.726416,17.643886
74599,0.149284,0.158799,1.919730,15.768839,17.688570
74799,0.149370,0.181541,1.922110,15.811220,17.733330
74999,0.149423,0.169396,1.924586,15.853723,17.778309
75199,0.149488,0.173586,1.932895,15.896422,17.829317
75399,0.149545,0.171221,1.935027,15.938861,17.873889
75599,0.149636,0.183703,1.937293,15.981359,17.918652
75799,0.149560,0.121009,1.939661,16.023762,17.963423
75999,0.149579,0.156869,1.942144,16.066251,18.008395
76199,0.149668,0.183321,1.950447,16.108801,18.059248
76399,0.149607,0.126231,1.952574,16.151145,18.103719
76599,0.149580,0.139308,1.954830,16.193518,18.148348
76799,0.149613,0.162353,1.957207,16.235978,18.193184
76999,0.149645,0.161975,1.959674,16.278491,18.238165
77199,0.149638,0.147028,1.967977,16.320995,18.288972
77399,0.149621,0.142820,1.970113,16.363295,18.333407
77599,0.149593,0.139079,1.972366,16.406226,18.378592
77799,0.149543,0.129940,1.974728,16.448678,18.423406
77999,0.149589,0.167607,1.977198,16.491029,18.468227
78199,0.149635,0.167575,1.985510,16.533614,18.519124
78399,0.149630,0.147666,1.987650,16.576133,18.563783
78599,0.149621,0.146136,1.989902,16.618557,18.608459
78799,0.149639,0.156382,1.992261,16.661079,18.653340
78999,0.149688,0.168989,1.994745,16.703587,18.698332
79199,0.149593,0.112215,2.003161,16.746078,18.749239
79399,0.149577,0.143193,2.005301,16.788597,18.793899
79599,0.149605,0.160795,2.007561,16.831090,18.838651
79799,0.149565,0.133677,2.009935,16.873535,18.883470
79999,0.149569,0.151107,2.012443,16.916203,18.928646
80199,0.149554,0.143577,2.046540,16.958907,19.005446
80399,0.149542,0.144849,2.048656,17.001254,19.049910
80599,0.149510,0.136355,2.050922,17.043599,19.094521
80799,0.149506,0.147893,2.053274,17.085904,19.139178
80999,0.149432,0.119819,2.055736,17.128240,19.183976
81199,0.149481,0.169127,2.063681,17.170946,19.234626
81399,0.149498,0.156410,2.065801,17.213206,19.279007
81599,0.149452,0.130918,2.068050,17.255498,19.323547
81799,0.149529,0.180665,2.070375,17.297777,19.368153
81999,0.149524,0.147562,2.072807,17.340192,19.412998
82199,0.149615,0.186950,2.080732,17.382628,19.463360
82399,0.149654,0.165795,2.082864,17.424950,19.507813
82599,0.149639,0.143223,2.085127,17.467396,19.552523
82799,0.149585,0.127504,2.087492,17.509770,19.597262
82999,0.149580,0.147666,2.089959,17.552224,19.642183
83199,0.149502,0.116943,2.098109,17.594581,19.692689
83399,0.149471,0.136486,2.100261,17.636858,19.737119
83599,0.149556,0.185081,2.102530,17.679110,19.781640
83799,0.149524,0.136149,2.104906,17.721462,19.826368
83999,0.149437,0.112934,2.107381,17.763760,19.871142
84199,0.149434,0.148187,2.115388,17.806167,19.921555
84399,0.149398,0.134360,2.117516,17.848505,19.966021
84599,0.149434,0.164569,2.119767,17.890723,20.010490
84799,0.149411,0.139749,2.122099,17.933029,20.055127
84999,0.149471,0.174842,2.124567,17.975489,20.100056
85199,0.149457,0.143543,2.132736,18.017956,20.150692
85399,0.149514,0.173892,2.134850,18.060165,20.195016
85599,0.149506,0.145878,2.137102,18.102410,20.239512
85799,0.149505,0.149076,2.139458,18.144732,20.284191
85999,0.149504,0.148961,2.141907,18.187061,20.328968
86199,0.149524,0.158124,2.150033,18.229543,20.379576
86399,0.149460,0.121911,2.152150,18.271929,20.424079
86599,0.149472,0.154725,2.154408,18.314477,20.468885
86799,0.149469,0.148240,2.156764,18.356930,20.513693
86999,0.149459,0.145279,2.159217,18.399386,20.558603
87199,0.149447,0.144078,2.167386,18.441915,20.609301
87399,0.149404,0.130618,2.169496,18.484323,20.653819
87599,0.149389,0.143069,2.171739,18.526677,20.698416
87799,0.149355,0.134389,2.174108,18.569083,20.743191
87999,0.149358,0.150468,2.176592,18.611602,20.788195
88199,0.149355,0.148082,2.184845,18.654047,20.838892
88399,0.149403,0.170590,2.186959,18.696346,20.883305
88599,0.149402,0.149044,2.189208,18.738746,20.927954
88799,0.149418,0.156396,2.191536,18.781176,20.972711
88999,0.149496,0.183995,2.193959,18.823601,21.017560
