# TEST CONFIGURATION BEGIN
# HyperplaneGenerator(mag_change=0.0, n_drift_features=2, n_features=10, noise_percentage=0.05, random_state=None, sigma_percentage=0.1)
# [AXGBRegSD] AdaptiveSemiRegressorJ(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegSD_incremental1.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegSD],current_mse_[AXGBRegSD],training_time_[AXGBRegSD],testing_time_[AXGBRegSD],total_running_time_[AXGBRegSD]
47399,0.148211,0.135368,20.030951,10.537342,30.568293
47599,0.148155,0.135040,20.113018,10.582016,30.695034
47799,0.148172,0.152225,20.195010,10.626510,30.821520
47999,0.148269,0.171402,20.278091,10.671060,30.949150
48199,0.148285,0.152033,20.367363,10.716030,31.083392
48399,0.148390,0.173854,20.449373,10.761052,31.210425
48599,0.148394,0.149214,20.531207,10.805834,31.337041
48799,0.148348,0.137226,20.614318,10.850539,31.464858
48999,0.148291,0.134399,20.696824,10.895309,31.592133
49199,0.148428,0.181995,20.786227,10.940231,31.726458
49399,0.148514,0.169684,20.868200,10.985131,31.853331
49599,0.148536,0.154035,20.951478,11.029980,31.981458
49799,0.148573,0.157719,21.034138,11.074791,32.108929
49999,0.148567,0.147036,21.117029,11.119703,32.236732
50199,0.148613,0.159994,21.206609,11.164838,32.371447
50399,0.148639,0.155364,21.289423,11.209467,32.498890
50599,0.148625,0.144963,21.371592,11.254325,32.625917
50799,0.148665,0.158763,21.454137,11.299239,32.753375
50999,0.148783,0.178866,21.536797,11.344020,32.880818
51199,0.148896,0.177547,21.627771,11.388968,33.016739
51399,0.148926,0.156803,21.709681,11.433992,33.143673
51599,0.148947,0.154386,21.791788,11.478752,33.270540
51799,0.148934,0.145556,21.874135,11.523634,33.397769
51999,0.149055,0.180389,21.957439,11.568428,33.525866
52199,0.149152,0.174416,22.046592,11.613199,33.659791
52399,0.149168,0.153144,22.128246,11.657721,33.785967
52599,0.149174,0.150702,22.210310,11.702349,33.912659
52799,0.149092,0.127737,22.293612,11.747089,34.040701
52999,0.149267,0.195277,22.376134,11.792081,34.168215
53199,0.149384,0.180615,22.465607,11.837042,34.302649
53399,0.149487,0.176631,22.547345,11.881713,34.429058
53599,0.149368,0.117591,22.630636,11.926508,34.557145
53799,0.149451,0.171764,22.713455,11.971357,34.684812
53999,0.149502,0.163229,22.796311,12.016023,34.812334
54199,0.149475,0.142289,22.885645,12.060868,34.946513
54399,0.149632,0.192018,22.968630,12.105528,35.074158
54599,0.149673,0.160910,23.050750,12.150190,35.200941
54799,0.149749,0.170508,23.133311,12.194896,35.328207
54999,0.149873,0.183779,23.216100,12.239648,35.455747
55199,0.149908,0.159485,23.306579,12.284269,35.590847
55399,0.149869,0.139316,23.388363,12.328885,35.717247
55599,0.149979,0.180477,23.470559,12.373671,35.844230
55799,0.150101,0.183990,23.552683,12.418071,35.970754
55999,0.150091,0.147103,23.636044,12.462580,36.098624
56199,0.150219,0.186212,23.725738,12.507531,36.233268
56399,0.150241,0.156282,23.808329,12.552595,36.360924
56599,0.150189,0.135618,23.891084,12.597602,36.488686
56799,0.150118,0.129979,23.974659,12.642403,36.617063
56999,0.150154,0.160560,24.057175,12.687114,36.744289
57199,0.150093,0.132588,24.143578,12.731853,36.875430
57399,0.150066,0.142461,24.226250,12.776776,37.003027
57599,0.150130,0.168433,24.309556,12.821542,37.131098
57799,0.150029,0.120943,24.392169,12.866239,37.258408
57999,0.149977,0.134928,24.475138,12.911112,37.386250
58199,0.149901,0.127726,24.560849,12.955537,37.516386
58399,0.149823,0.127101,24.643944,13.000181,37.644126
58599,0.149793,0.141187,24.726013,13.044682,37.770695
58799,0.149743,0.135082,24.808700,13.089293,37.897993
58999,0.149666,0.126905,24.891559,13.133899,38.025458
59199,0.149596,0.128908,24.978655,13.178419,38.157074
59399,0.149574,0.143079,25.061045,13.223062,38.284107
59599,0.149469,0.118317,25.142775,13.267632,38.410406
59799,0.149389,0.125514,25.225089,13.312411,38.537500
59999,0.149405,0.154422,25.308464,13.357173,38.665637
60199,0.149296,0.116368,25.394110,13.401739,38.795849
60399,0.149267,0.140688,25.475801,13.446251,38.922052
60599,0.149274,0.151225,25.557539,13.490591,39.048131
60799,0.149291,0.154536,25.640751,13.534882,39.175633
60999,0.149242,0.134308,25.723211,13.579511,39.302722
61199,0.149173,0.128055,25.809182,13.624233,39.433415
61399,0.149070,0.117700,25.890983,13.668668,39.559651
61599,0.149049,0.142629,25.974294,13.713479,39.687773
61799,0.149010,0.137126,26.056171,13.757737,39.813908
61999,0.148974,0.137762,26.138200,13.802166,39.940365
62199,0.148989,0.153619,26.224012,13.846659,40.070671
62399,0.149020,0.158518,26.307164,13.891146,40.198310
62599,0.149037,0.154460,26.389832,13.935883,40.325715
62799,0.148864,0.094614,26.472707,13.980763,40.453470
62999,0.148796,0.127439,26.555374,14.025266,40.580639
63199,0.148733,0.129113,26.642942,14.070115,40.713057
63399,0.148626,0.114576,26.724822,14.126453,40.851274
63599,0.148534,0.119611,26.807481,14.171199,40.978680
63799,0.148503,0.138463,26.889781,14.215738,41.105518
