# TEST CONFIGURATION BEGIN
# HyperplaneGenerator(mag_change=0.0, n_drift_features=2, n_features=10, noise_percentage=0.05, random_state=None, sigma_percentage=0.1)
# [ARFReg] AdaptiveRandomForestRegressor(aggregation_method='median', binary_split=False, drift_detection_criteria='mse', drift_detection_method=ADWIN(delta=0.001), grace_period=50, lambda_value=6, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.1, max_byte_size=1048576000, max_features='auto', memory_estimate_period=2000000, n_estimators=10, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=0.01, stop_mem_management=False, tie_threshold=0.05, warning_detection_method=ADWIN(delta=0.01), weighted_vote_strategy=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_ARFReg_incremental3.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[ARFReg],current_mse_[ARFReg],training_time_[ARFReg],testing_time_[ARFReg],total_running_time_[ARFReg]
64599,0.115803,0.125284,387.243512,21.430506,408.674018
64799,0.115736,0.094230,389.256748,21.504540,410.761288
64999,0.115727,0.112675,391.359072,21.578351,412.937424
65199,0.115705,0.108636,392.717892,21.651960,414.369852
65399,0.115671,0.104537,394.657878,21.725507,416.383385
65599,0.115730,0.134902,396.819930,21.799715,418.619645
65799,0.115699,0.105606,398.876284,21.873651,420.749934
65999,0.115651,0.099929,401.057736,21.948151,423.005887
66199,0.115609,0.101841,402.972511,22.021706,424.994217
66399,0.115559,0.098912,405.029613,22.095984,427.125597
66599,0.115563,0.117048,407.189829,22.170432,429.360261
66799,0.115595,0.126265,409.125958,22.244180,431.370139
66999,0.115591,0.114067,411.129528,22.318033,433.447561
67199,0.115563,0.106369,413.127817,22.391754,435.519571
67399,0.115537,0.106649,415.173893,22.465526,437.639419
67599,0.115540,0.116700,416.583359,22.539524,439.122882
67799,0.115512,0.105844,418.670957,22.613764,441.284721
67999,0.115531,0.122188,420.880160,22.688125,443.568285
68199,0.115489,0.101140,423.037391,22.762755,445.800146
68399,0.115465,0.107029,425.324208,22.838086,448.162294
68599,0.115423,0.101133,428.216105,22.912959,451.129063
68799,0.115376,0.099240,430.352077,22.987032,453.339109
68999,0.115365,0.111676,432.591543,23.062023,455.653566
