# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=375000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=250000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=125000.0, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=10000.0), width=10000.0), width=10000.0)
# [KNN] KNNRegressor(aggregation_method='mean', leaf_size=30, max_window_size=1000, metric='euclidean', n_neighbors=5)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_KNN_gradual1.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[KNN],current_mse_[KNN],training_time_[KNN],testing_time_[KNN],total_running_time_[KNN]
66599,5005.401993,4821.727561,1.767500,30.215391,31.982891
66799,5004.327096,4646.386591,1.772810,30.306487,32.079296
66999,5004.629267,5105.554361,1.778148,30.397860,32.176008
67199,5002.790568,4386.826459,1.783451,30.489130,32.272581
67399,5004.840062,5693.469957,1.788788,30.580457,32.369245
67599,5005.155606,5111.494019,1.794133,30.671928,32.466061
67799,5003.998989,4613.062348,1.799477,30.763141,32.562619
67999,5006.523378,5862.291205,1.804801,30.854403,32.659204
68199,5008.961037,5837.765110,1.810170,30.945726,32.755896
68399,5010.324166,5475.151041,1.815508,31.036988,32.852497
68599,5009.917780,4870.933827,1.820833,31.128211,32.949044
68799,5011.698652,5622.537985,1.826169,31.219365,33.045534
68999,5009.491295,4250.160297,1.831485,31.310575,33.142059
69199,5008.465026,4654.402370,1.836801,31.401735,33.238536
69399,5008.674941,5081.305579,1.842138,31.492871,33.335009
69599,5010.491157,5640.717857,1.847523,31.584650,33.432173
69799,5009.595697,4697.975653,1.852894,31.676037,33.528931
69999,5010.508958,5329.237174,1.858223,31.767259,33.625482
70199,5013.840217,6179.780911,1.863553,31.858551,33.722104
70399,5012.638007,4590.662245,1.868867,31.949644,33.818511
70599,5015.613706,6063.059644,1.874180,32.040782,33.914961
70799,5014.134420,4491.946588,1.879496,32.132130,34.011627
70999,5011.343047,4023.196823,1.884905,32.223553,34.108458
71199,5009.260422,4269.928841,1.890238,32.314811,34.205049
71399,5010.620971,5494.976386,1.895611,32.406125,34.301736
71599,5008.578778,4279.515672,1.900924,32.497763,34.398687
71799,5010.826100,5815.367554,1.906241,32.589235,34.495477
71999,5011.740278,5339.930183,1.911564,32.680893,34.592457
72199,5011.539878,4939.395747,1.916926,32.772425,34.689352
72399,5009.964559,4441.274520,1.922264,32.863756,34.786020
72599,5011.259356,5479.975718,1.927571,32.954986,34.882557
72799,5012.598913,5498.858061,1.932898,33.046609,34.979507
72999,5013.282281,5262.028357,1.938225,33.137948,35.076172
73199,5010.440325,3973.126264,1.943586,33.229409,35.172994
73399,5009.145502,4535.240206,1.948905,33.320951,35.269856
73599,5008.917721,4925.322262,1.954250,33.412387,35.366638
73799,5006.712700,4195.264859,1.959564,33.503612,35.463176
73999,5005.735298,4645.073993,1.964908,33.594905,35.559814
74199,5003.501338,4176.936124,1.970258,33.686331,35.656589
74399,5003.290231,4924.969795,1.975586,33.777648,35.753234
74599,5004.798125,5565.734595,1.980906,33.868968,35.849874
74799,5008.073750,6229.881701,1.986217,33.959784,35.946001
74999,5011.210748,6184.448033,1.991589,34.051068,36.042657
75199,5010.279229,4660.959542,1.996941,34.142559,36.139500
75399,5006.262370,3495.923674,2.002278,34.233920,36.236197
75599,5005.159829,4589.501881,2.007620,34.325358,36.332978
75799,5004.560049,4777.842966,2.012938,34.416807,36.429745
75999,5003.676059,4668.643765,2.018238,34.508405,36.526643
76199,5006.112867,5932.100253,2.023617,34.599761,36.623379
76399,5004.355339,4334.737011,2.028958,34.691318,36.720276
76599,5005.123897,5298.713203,2.034330,34.782924,36.817254
76799,5002.440816,3974.820536,2.039651,34.874326,36.913978
76999,5004.022344,5611.329095,2.045028,34.965478,37.010506
77199,5004.241596,5088.653793,2.050359,35.057136,37.107495
77399,5001.441563,3920.628866,2.055721,35.148998,37.204719
77599,5000.991740,4826.910085,2.061090,35.240162,37.301252
77799,5003.838229,6108.275824,2.066424,35.331701,37.398125
77999,5002.122524,4334.713391,2.071773,35.423170,37.494942
