# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=375000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=250000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=125000.0, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=10000.0), width=10000.0), width=10000.0)
# [ARFReg] AdaptiveRandomForestRegressor(aggregation_method='median', binary_split=False, drift_detection_criteria='mse', drift_detection_method=ADWIN(delta=0.001), grace_period=50, lambda_value=6, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.1, max_byte_size=1048576000, max_features='auto', memory_estimate_period=2000000, n_estimators=10, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=0.01, stop_mem_management=False, tie_threshold=0.05, warning_detection_method=ADWIN(delta=0.01), weighted_vote_strategy=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_ARFReg_gradual4.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[ARFReg],current_mse_[ARFReg],training_time_[ARFReg],testing_time_[ARFReg],total_running_time_[ARFReg]
30399,3225.780828,2593.073038,121.724929,9.497293,131.222223
30599,3223.839774,2928.799600,123.044337,9.567106,132.611444
30799,3217.982720,2321.853478,124.168973,9.636701,133.805674
30999,3209.274826,1868.259157,125.492016,9.706959,135.198975
31199,3204.136220,2407.652264,126.843276,9.776943,136.620219
31399,3199.419855,2463.667006,127.850756,9.846318,137.697074
31599,3198.375808,3034.460405,129.214058,9.916195,139.130253
31799,3195.186677,2691.303921,130.251433,9.985411,140.236844
31999,3191.786333,2651.131723,131.584036,10.055194,141.639230
32199,3190.056649,2913.307142,132.937240,10.125418,143.062658
32399,3185.969616,2527.957303,134.042729,10.195561,144.238289
32599,3181.454407,2449.990511,135.467583,10.265691,145.733274
32799,3175.051465,2131.371872,136.871740,10.336183,147.207923
32999,3172.117327,2690.918741,137.886326,10.406086,148.292411
33199,3170.143239,2844.418794,139.321858,10.475835,149.797693
33399,3169.855175,3122.036485,140.252675,10.545556,150.798231
33599,3170.400769,3261.514934,141.644667,10.615913,152.260580
33799,3165.586607,2356.807374,142.707907,10.686045,153.393952
33999,3164.758684,3024.839768,144.195485,10.756582,154.952067
34199,3162.093697,2709.045975,145.658791,10.827563,156.486354
34399,3155.251514,1985.238086,146.744936,10.898740,157.643676
34599,3151.311089,2473.558069,148.170096,10.969450,159.139545
34799,3153.624487,3553.842407,149.181789,11.039145,160.220934
34999,3146.534801,1912.929325,150.631219,11.110104,161.741323
35199,3142.824471,2493.516774,151.746761,11.181094,162.927855
35399,3142.566608,3097.182787,153.274203,11.252399,164.526601
35599,3140.241606,2728.716202,154.696257,11.322968,166.019225
35799,3139.834685,3067.402798,155.788416,11.393788,167.182203
35999,3140.068964,3182.004898,157.268328,11.464963,168.733292
36199,3137.465186,2668.785075,158.418884,11.535658,169.954541
36399,3132.170815,2173.889687,159.850598,11.606364,171.456962
36599,3130.036997,2741.682075,161.316753,11.677552,172.994305
36799,3126.882919,2549.686689,162.423454,11.748272,174.171726
36999,3125.595582,2888.725541,163.977590,11.819754,175.797344
37199,3123.925397,2814.941092,165.459590,11.890651,177.350242
37399,3122.616637,2879.187305,166.572261,11.961369,178.533630
37599,3119.935091,2618.486042,168.066472,12.032540,180.099012
37799,3117.837741,2723.535950,169.220550,12.103625,181.324176
37999,3115.261367,2628.326750,170.820232,12.175802,182.996035
38199,3112.791865,2643.586348,172.376348,12.247126,184.623473
38399,3108.758431,2338.372566,173.934913,12.318696,186.253609
38599,3105.028217,2388.827106,175.000217,12.390302,187.390520
38799,3100.921373,2308.300532,176.565596,12.461881,189.027476
38999,3103.719091,3646.476364,177.817219,12.533611,190.350830
39199,3100.259549,2425.648833,179.399027,12.605059,192.004086
39399,3098.257275,2705.811545,180.962266,12.677165,193.639431
39599,3095.590384,2570.212984,182.510410,12.748807,195.259217
39799,3093.880764,2755.375937,183.691412,12.820310,196.511722
39999,3090.693524,2456.432851,185.182556,12.891763,198.074318
40199,3086.196818,2186.855469,186.356608,12.963553,199.320161
40399,3085.895764,3025.384082,187.983556,13.035676,201.019232
40599,3079.851053,1858.819385,189.623555,13.107822,202.731377
40799,3077.974740,2697.083247,190.768568,13.179340,203.947908
40999,3076.501373,2775.934307,192.383127,13.251600,205.634728
41199,3073.331199,2423.445660,193.983975,13.324037,207.308011
41399,3071.535666,2701.655747,195.630252,13.396080,209.026332
41599,3070.729819,2903.919529,196.908782,13.468394,210.377176
41799,3069.388838,2790.464890,198.505471,13.540514,212.045985
41999,3062.884668,1703.513170,200.093756,13.613114,213.706870
42199,3059.674393,2385.516610,201.280141,13.685358,214.965499
42399,3057.559035,2611.218540,203.017054,13.758075,216.775129
42599,3051.921199,1856.699805,204.749745,13.830620,218.580364
42799,3048.509787,2321.879096,206.370785,13.902925,220.273710
42999,3045.755409,2456.318435,208.169849,13.976007,222.145856
43199,3043.195019,2492.711347,209.430741,14.048315,223.479056
43399,3041.242875,2619.579605,211.143641,14.121165,225.264806
43599,3035.519789,1793.610203,212.924868,14.194608,227.119476
43799,3030.669070,1973.212382,214.585374,14.267273,228.852647
43999,3028.203481,2488.239524,216.229653,14.340053,230.569706
44199,3027.331191,2835.427241,217.500572,14.412538,231.913110
44399,3026.145609,2764.132123,219.298540,14.485723,233.784263
44599,3025.309478,2839.688304,221.101578,14.558737,235.660315
44799,3019.938878,1822.295030,222.916927,14.631854,237.548782
44999,3014.467202,1788.811886,224.722791,14.705046,239.427837
45199,3012.665724,2607.333234,226.385528,14.777600,241.163128
45399,3011.281624,2698.475006,228.120626,14.850332,242.970958
45599,3012.329576,3250.214517,229.309376,14.923820,244.233196
45799,3012.225635,2988.527107,231.066593,14.996921,246.063514
45999,3012.271837,3022.852218,232.842036,15.069839,247.911875
46199,3009.385400,2345.504863,234.551636,15.143193,249.694829
46399,3007.345693,2536.173424,235.859623,15.216160,251.075783
46599,3004.901462,2437.839834,237.615854,15.289265,252.905119
46799,3004.982691,3023.909080,239.298424,15.362324,254.660749
46999,3002.489170,2419.005248,241.048403,15.435512,256.483915
47199,2996.991546,1705.049779,242.319500,15.508232,257.827732
47399,2997.206343,3047.898450,244.267471,15.582081,259.849552
47599,2995.367242,2559.500285,245.998449,15.655707,261.654155
47799,2995.306683,2980.893730,247.767022,15.729101,263.496123
47999,2993.602810,2586.377122,249.655449,15.802575,265.458024
48199,2989.864569,2092.686683,250.899235,15.875905,266.775140
48399,2986.912076,2275.361438,252.660759,15.949184,268.609943
48599,2981.319713,1627.967801,254.449576,16.022498,270.472074
48799,2980.122395,2689.174045,256.388039,16.096692,272.484731
48999,2977.024799,2221.211484,258.278773,16.170934,274.449707
49199,2975.286397,2549.377835,260.089569,16.244921,276.334490
49399,2971.308536,1992.754702,261.418920,16.318726,277.737646
49599,2967.189205,1949.714470,263.288152,16.392475,279.680627
49799,2964.252817,2236.028576,265.116411,16.466300,281.582711
49999,2960.085188,1922.345611,267.145975,16.541005,283.686980
50199,2958.302980,2512.750877,268.891186,16.614675,285.505861
50399,2959.511654,3262.888897,270.893196,16.688406,287.581602
50599,2956.185227,2117.925740,272.912516,16.762445,289.674961
50799,2952.495673,2019.038435,274.876035,16.836962,291.712997
50999,2948.985895,2057.502241,276.850734,16.911500,293.762234
51199,2946.205786,2237.278079,278.871439,16.986177,295.857616
51399,2943.060471,2137.859680,280.261547,17.060379,297.321926
51599,2940.596020,2307.232186,282.377800,17.135402,299.513202
51799,2939.405802,2632.329540,284.190492,17.209432,301.399924
51999,2936.312986,2135.273674,286.052552,17.283877,303.336429
52199,2933.800694,2280.604753,287.978401,17.358401,305.336802
52399,2929.475037,1800.478433,289.991597,17.433223,307.424820
52599,2927.507484,2412.008709,291.356526,17.507492,308.864019
52799,2925.578219,2418.181602,293.309332,17.581699,310.891031
52999,2921.740469,1908.574471,295.250141,17.655595,312.905735
53199,2918.691755,2110.782462,297.249039,17.730291,314.979330
53399,2917.237711,2530.461909,299.256080,17.804669,317.060749
53599,2916.344028,2677.730685,301.307909,17.879496,319.187405
53799,2915.038129,2565.057412,303.401401,17.954094,321.355494
53999,2912.652060,2270.799436,305.265604,18.028303,323.293907
54199,2907.733513,1579.725824,306.654164,18.102460,324.756624
54399,2904.986624,2160.579579,309.339909,18.177479,327.517388
54599,2903.912447,2611.736429,311.431577,18.252419,329.683995
54799,2903.602614,2819.018083,312.808800,18.326709,331.135509
54999,2901.665398,2370.868262,314.764254,18.401597,333.165851
55199,2897.569810,1771.283225,316.795562,18.476558,335.272120
55399,2896.584293,2624.581598,318.753343,18.551600,337.304943
55599,2893.891646,2148.028465,320.903783,18.626620,339.530403
55799,2892.116920,2398.743057,322.986420,18.701448,341.687869
55999,2891.476782,2712.878147,324.927508,18.776160,343.703668
56199,2892.206140,3096.426367,327.040851,18.850865,345.891715
56399,2889.673869,2178.105893,329.122998,18.925919,348.048917
56599,2888.266509,2491.390929,331.378122,19.001751,350.379873
56799,2886.700031,2443.386691,333.452336,19.077045,352.529380
56999,2884.912758,2377.327357,335.574739,19.152056,354.726794
57199,2882.561675,2212.502819,338.335712,19.227766,357.563479
57399,2883.046697,3021.763166,340.540242,19.303296,359.843538
57599,2879.787450,1944.383568,342.672964,19.378985,362.051949
57799,2878.290205,2447.083389,344.036400,19.454248,363.490648
57999,2876.715435,2421.607000,346.794112,19.529737,366.323849
58199,2874.395941,2201.742775,348.242726,19.604645,367.847371
