# TEST CONFIGURATION BEGIN
# HyperplaneGenerator(mag_change=0.0, n_drift_features=2, n_features=10, noise_percentage=0.05, random_state=None, sigma_percentage=0.1)
# [AXGBRegS] AdaptiveSemiRegressorJS(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegS_incremental1.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegS],current_mse_[AXGBRegS],training_time_[AXGBRegS],testing_time_[AXGBRegS],total_running_time_[AXGBRegS]
83599,0.128451,0.123355,1.917047,17.633147,19.550194
83799,0.128435,0.121380,1.919517,17.675466,19.594982
83999,0.128415,0.120372,1.922106,17.717794,19.639900
84199,0.128412,0.126829,1.930141,17.760033,19.690173
84399,0.128377,0.113671,1.932369,17.802482,19.734851
84599,0.128339,0.112412,1.934703,17.844778,19.779481
84799,0.128327,0.123221,1.937153,17.887111,19.824264
84999,0.128437,0.175062,1.939703,17.929508,19.869211
85199,0.128503,0.156749,1.947804,17.971769,19.919573
85399,0.128496,0.125398,1.950023,18.014120,19.964143
85599,0.128536,0.145787,1.952374,18.056530,20.008905
85799,0.128580,0.147282,1.954817,18.098888,20.053706
85999,0.128612,0.142327,1.957385,18.141451,20.098836
86199,0.128642,0.141698,1.965554,18.183833,20.149387
86399,0.128683,0.146170,1.967785,18.226121,20.193907
86599,0.128687,0.130478,1.970133,18.268522,20.238654
86799,0.128684,0.127453,1.972549,18.310924,20.283473
86999,0.128771,0.166442,1.975106,18.353369,20.328476
87199,0.128756,0.122278,1.983387,18.395723,20.379109
87399,0.128779,0.138579,1.985619,18.438039,20.423659
87599,0.128802,0.138881,1.987970,18.480522,20.468493
87799,0.128842,0.146466,1.990429,18.522966,20.513395
87999,0.128911,0.159307,1.992997,18.565362,20.558359
88199,0.128960,0.150440,2.001173,18.607781,20.608954
88399,0.128943,0.121396,2.003394,18.650127,20.653521
88599,0.128970,0.141013,2.005729,18.692477,20.698205
88799,0.129019,0.150710,2.008194,18.734920,20.743115
88999,0.129006,0.123336,2.010765,18.777317,20.788082
