# TEST CONFIGURATION BEGIN
# HyperplaneGenerator(mag_change=0.0, n_drift_features=2, n_features=10, noise_percentage=0.05, random_state=None, sigma_percentage=0.1)
# [D+RESET] AdaptiveSemiRegressorJr(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# [RESET] AdaptiveSemiRegressorJULIA(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# [D-SEM] AdaptiveSemiRegressorJ(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# [SEM_RESET] AdaptiveSemiRegressorJS(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# [HTR] HoeffdingTreeRegressor(binary_split=False, grace_period=200, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.02, max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=1e-07, stop_mem_management=False, tie_threshold=0.05)
# [HTRA] HoeffdingAdaptiveTreeRegressor(binary_split=False, grace_period=200, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.02, max_byte_size=33554432, memory_estimate_period=1000000, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=1e-07, stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_ALL_incremental1.out', pretrain_size=0, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_mse_[D+RESET],current_mse_[D+RESET],mean_mse_[RESET],current_mse_[RESET],mean_mse_[D-SEM],current_mse_[D-SEM],mean_mse_[SEM_RESET],current_mse_[SEM_RESET],mean_mse_[HTR],current_mse_[HTR],mean_mse_[HTRA],current_mse_[HTRA],training_time_[D+RESET],testing_time_[D+RESET],total_running_time_[D+RESET],training_time_[RESET],testing_time_[RESET],total_running_time_[RESET],training_time_[D-SEM],testing_time_[D-SEM],total_running_time_[D-SEM],training_time_[SEM_RESET],testing_time_[SEM_RESET],total_running_time_[SEM_RESET],training_time_[HTR],testing_time_[HTR],total_running_time_[HTR],training_time_[HTRA],testing_time_[HTRA],total_running_time_[HTRA]
7199,0.161542,0.154059,0.161542,0.154059,0.161542,0.154059,0.161542,0.154059,0.145170,0.141454,0.145095,0.141504,2.786104,1.795167,4.581270,0.160640,1.708773,1.869413,2.768792,1.610245,4.379037,0.146882,1.653845,1.800727,1.119820,0.218899,1.338719,2.513495,0.171928,2.685422
7399,0.161366,0.155009,0.161366,0.155009,0.161366,0.155009,0.161366,0.155009,0.145067,0.141331,0.144992,0.141289,2.860920,1.848087,4.709007,0.162316,1.752462,1.914778,2.842698,1.651022,4.493720,0.148474,1.700488,1.848962,1.146907,0.225795,1.372702,2.600983,0.177460,2.778444
7599,0.160892,0.143357,0.160892,0.143357,0.160892,0.143357,0.160892,0.143357,0.145241,0.151687,0.145168,0.151683,2.947158,1.934312,4.881470,0.164533,1.800121,1.964654,2.933170,1.698802,4.631972,0.150715,1.747479,1.898194,1.185824,0.233773,1.419596,2.710124,0.183809,2.893933
7799,0.161204,0.173058,0.161204,0.173058,0.161204,0.173058,0.161204,0.173058,0.145524,0.156279,0.145454,0.156309,3.035013,1.991940,5.026953,0.167013,1.850753,2.017766,3.024777,1.749369,4.774146,0.153213,1.798971,1.952184,1.238408,0.242178,1.480587,2.837726,0.190441,3.028167
7999,0.160369,0.127811,0.160369,0.127811,0.160369,0.127811,0.160369,0.127811,0.145046,0.126405,0.144977,0.126387,3.105137,2.038133,5.143270,0.168878,1.888868,2.057746,3.096737,1.790989,4.887726,0.155116,1.837466,1.992583,1.261364,0.248393,1.509757,2.919862,0.195467,3.115329
8199,0.160460,0.164077,0.160460,0.164077,0.160460,0.164077,0.160460,0.164077,0.144853,0.137121,0.144786,0.137133,3.187081,2.090897,5.277977,0.181942,1.933226,2.115169,3.181163,1.836757,5.017920,0.165085,1.880487,2.045572,1.285283,0.255079,1.540362,3.001662,0.200666,3.202328
8399,0.160341,0.155497,0.160341,0.155497,0.160408,0.158300,0.160341,0.155497,0.144454,0.128133,0.144389,0.128135,3.258625,2.134718,5.393343,0.183566,1.974824,2.158390,3.326716,1.877257,5.203973,0.166622,1.921234,2.087857,1.324704,0.261889,1.586593,3.106810,0.206223,3.313032
8599,0.160124,0.151007,0.160124,0.151007,0.159894,0.138309,0.160124,0.151007,0.144385,0.141456,0.144322,0.141486,3.320750,2.173821,5.494571,0.185122,2.017490,2.202613,3.398413,1.914436,5.312849,0.168220,1.957108,2.125328,1.347299,0.267696,1.614995,3.186050,0.210929,3.396978
8799,0.159567,0.135595,0.159567,0.135595,0.159635,0.148482,0.159567,0.135595,0.143921,0.123969,0.143860,0.123988,3.387707,2.213856,5.601563,0.186941,2.053202,2.240143,3.467422,1.950111,5.417533,0.169992,1.993529,2.163521,1.380407,0.273873,1.654280,3.281396,0.215992,3.497388
8999,0.159320,0.148443,0.159320,0.148443,0.159346,0.146642,0.159320,0.148443,0.143707,0.134287,0.143647,0.134263,3.454276,2.255946,5.710222,0.188861,2.092914,2.281775,3.533888,1.988711,5.522599,0.171967,2.031497,2.203464,1.437845,0.280127,1.717972,3.397178,0.221128,3.618306
