# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=375000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=250000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=125000.0, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=10000.0), width=10000.0), width=10000.0)
# [AXGBRegSD] AdaptiveSemiRegressorJ(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegSD_gradual4.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegSD],current_mse_[AXGBRegSD],training_time_[AXGBRegSD],testing_time_[AXGBRegSD],total_running_time_[AXGBRegSD]
46799,2507.781107,1765.337218,19.962852,10.418215,30.381067
46999,2504.265541,1681.623171,20.043771,10.462793,30.506564
47199,2501.315420,1808.036813,20.125552,10.507277,30.632828
47399,2498.099596,1739.165269,20.206821,10.551794,30.758615
47599,2494.417112,1621.668454,20.294489,10.596342,30.890831
47799,2490.965294,1669.432592,20.374930,10.640767,31.015697
47999,2488.442871,1885.583689,20.456828,10.685383,31.142211
48199,2485.302698,1731.661209,20.537574,10.729797,31.267371
48399,2481.938397,1671.141758,20.619007,10.774516,31.393523
48599,2480.231447,2067.149705,20.707154,10.819190,31.526344
48799,2478.891649,2153.320609,20.823166,10.863873,31.687038
48999,2479.127074,2536.570931,20.906466,10.908672,31.815138
49199,2479.199073,2496.838610,20.986676,10.953044,31.939719
49399,2476.704973,1863.156524,21.066986,10.997355,32.064342
49599,2473.848457,1768.288989,21.151563,11.041753,32.193316
49799,2472.811702,2215.696488,21.231967,11.086162,32.318129
49999,2472.693390,2443.233599,21.312527,11.130665,32.443192
50199,2471.753114,2236.684251,21.393452,11.175093,32.568544
50399,2470.478159,2150.464284,21.475543,11.219626,32.695169
50599,2469.307913,2174.405985,21.560334,11.264064,32.824398
50799,2466.626697,1788.279060,21.641304,11.308970,32.950274
50999,2465.141648,2087.939109,21.741972,11.354139,33.096111
51199,2463.211183,1970.942729,21.824302,11.398988,33.223289
51399,2460.920351,1874.467456,21.905651,11.443718,33.349369
51599,2458.411332,1813.593363,21.990556,11.488499,33.479055
51799,2455.084547,1596.774009,22.097607,11.532704,33.630311
51999,2451.710800,1577.910201,22.182863,11.577570,33.760433
52199,2450.280480,2078.397395,22.263599,11.622079,33.885678
52399,2447.637906,1757.926052,22.344889,11.666846,34.011735
52599,2445.155252,1794.699921,22.431793,11.711585,34.143378
52799,2444.624423,2305.016281,22.513632,11.756137,34.269769
52999,2442.320958,1834.206415,22.594534,11.800843,34.395377
53199,2440.837898,2047.826774,22.675003,11.845138,34.520141
53399,2440.795511,2429.520797,22.756385,11.889792,34.646177
53599,2440.142240,2265.718681,22.844812,11.934366,34.779178
53799,2439.787095,2344.608237,22.925454,11.978795,34.904249
53999,2438.596974,2118.454478,23.006102,12.023331,35.029433
54199,2438.253958,2345.639811,23.087031,12.067792,35.154823
54399,2436.067605,1843.565839,23.169050,12.112314,35.281364
54599,2435.080933,2166.706225,23.257278,12.157068,35.414347
54799,2433.578744,2023.481161,23.338120,12.201627,35.539747
54999,2432.401701,2109.891707,23.419477,12.246411,35.665888
55199,2429.980692,1764.203358,23.502082,12.291148,35.793231
55399,2429.237469,2224.107907,23.583854,12.335928,35.919781
55599,2426.622786,1702.355546,23.672129,12.380660,36.052790
55799,2425.028985,1981.952453,23.752960,12.425223,36.178183
55999,2422.409970,1691.704705,23.834919,12.469853,36.304772
56199,2422.710667,2506.905714,23.916624,12.514626,36.431250
56399,2420.676638,1849.114594,23.998541,12.559353,36.557893
56599,2419.376266,2052.671251,24.087089,12.604093,36.691182
56799,2419.315131,2402.013871,24.169706,12.649010,36.818716
56999,2417.998988,2044.214467,24.250545,12.693675,36.944221
57199,2416.236068,1913.803845,24.331736,12.738325,37.070062
57399,2414.658609,1963.505429,24.413435,12.783239,37.196674
57599,2413.474744,2073.705469,24.503054,12.828135,37.331189
57799,2411.382606,1808.846947,24.584056,12.872892,37.456948
57999,2409.536797,1876.098001,24.665740,12.917888,37.583629
58199,2407.378953,1781.604203,24.747388,12.962769,37.710157
58399,2405.560284,1876.327468,24.830039,13.007499,37.837538
58599,2403.924070,1926.149705,24.918360,13.052205,37.970565
58799,2401.900984,1809.136628,24.999417,13.096935,38.096352
58999,2400.447041,1972.987834,25.080563,13.141655,38.222218
59199,2398.450317,1809.416755,25.162933,13.186498,38.349431
59399,2397.083976,1992.646905,25.244914,13.231472,38.476387
59599,2394.643072,1669.694791,25.333512,13.276331,38.609842
59799,2393.250535,1978.274585,25.415099,13.323867,38.738966
59999,2392.550486,2183.235676,25.497661,13.368753,38.866414
60199,2389.217368,1389.282074,25.606129,13.413319,39.019448
60399,2387.501381,1870.989088,25.684285,13.457935,39.142220
60599,2385.209016,1692.914862,25.768810,13.502539,39.271349
60799,2384.188842,2075.076294,25.850870,13.547049,39.397920
60999,2383.246252,2096.698903,25.932151,13.591515,39.523667
61199,2381.474129,1840.976475,26.012995,13.635860,39.648855
61399,2380.370122,2042.543948,26.094386,13.680411,39.774797
61599,2378.608039,1837.648439,26.180486,13.724861,39.905347
61799,2377.258901,1961.724671,26.261503,13.769397,40.030901
61999,2375.028463,1685.823036,26.342809,13.813970,40.156778
62199,2373.840192,2005.476214,26.423972,13.858443,40.282415
62399,2372.225186,1869.958112,26.506001,13.902670,40.408670
62599,2370.967712,1978.635857,26.593156,13.947166,40.540322
62799,2368.795366,1688.851313,26.674422,13.991689,40.666111
62999,2367.148123,1849.913519,26.756126,14.036427,40.792553
63199,2364.730761,1603.261931,26.838669,14.081079,40.919748
63399,2363.240457,1892.304268,26.920129,14.125603,41.045732
63599,2361.759300,1892.232500,27.007869,14.170074,41.177944
63799,2360.177833,1857.271478,27.088803,14.214611,41.303414
63999,2358.503793,1824.485055,27.171290,14.259274,41.430564
64199,2356.629923,1756.991490,27.252867,14.303881,41.556748
64399,2354.833637,1778.225750,27.334691,14.348379,41.683070
64599,2352.612029,1637.254237,27.422609,14.392890,41.815499
64799,2352.345722,2266.328497,27.504774,14.437410,41.942184
64999,2352.047557,2255.442097,27.586276,14.481906,42.068181
65199,2350.941715,1991.543103,27.667452,14.526372,42.193824
65399,2348.623386,1592.848253,27.749533,14.571304,42.320837
65599,2345.870939,1445.820709,27.838655,14.616026,42.454681
65799,2343.315988,1505.292102,27.919675,14.660631,42.580306
65999,2340.822938,1520.609320,28.000767,14.705078,42.705845
66199,2338.987338,1733.239421,28.082262,14.749624,42.831887
66399,2338.971793,2333.826454,28.164638,14.794001,42.958638
66599,2338.005160,2017.083019,28.253096,14.838788,43.091884
66799,2335.230923,1411.410117,28.334671,14.883466,43.218137
66999,2333.949525,1905.962513,28.415827,14.927889,43.343716
67199,2332.659640,1900.548105,28.498383,14.972548,43.470931
67399,2330.147069,1485.923174,28.636219,15.017210,43.653429
67599,2328.644662,1822.333705,28.724008,15.062062,43.786070
67799,2327.003353,1772.240878,28.805640,15.107050,43.912690
67999,2325.867309,1940.748142,28.888652,15.151978,44.040630
68199,2324.118803,1729.627076,28.970782,15.196966,44.167748
68399,2322.594995,1802.976359,29.052704,15.241704,44.294408
