# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=450000, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=400000, random_state=None... stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=50000, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1)
# [HTRA] HoeffdingAdaptiveTreeRegressor(binary_split=False, grace_period=200, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.02, max_byte_size=33554432, memory_estimate_period=1000000, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=1e-07, stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_HTRA_abrupto2.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[HTRA],current_mse_[HTRA],training_time_[HTRA],testing_time_[HTRA],total_running_time_[HTRA]
32199,4908.529668,4035.151939,12.133679,0.788722,12.922401
32399,4899.197282,3396.683035,12.217137,0.793861,13.010998
32599,4889.566468,3329.374595,12.314920,0.799008,13.113928
32799,4877.738113,2949.716388,12.400196,0.804134,13.204330
32999,4868.309258,3321.976943,12.482874,0.809279,13.292153
33199,4859.410271,3391.077499,12.573358,0.814409,13.387767
33399,4853.796126,3921.847924,12.687984,0.819564,13.507547
33599,4850.608461,4318.268517,12.782408,0.824719,13.607127
33799,4845.599097,4004.025909,12.869583,0.829867,13.699450
33999,4837.475562,3464.598217,12.954136,0.835019,13.789155
34199,4830.147211,3584.327476,13.050677,0.840206,13.890884
34399,4818.928431,2900.517104,13.160037,0.845400,14.005437
34599,4808.829074,3071.739645,13.291475,0.850594,14.142069
34799,4804.556728,4065.440904,13.399723,0.855762,14.255484
34999,4794.338803,3016.419833,13.494880,0.860950,14.355830
35199,4785.951422,3318.159613,13.592296,0.866131,14.458427
35399,4784.906994,4601.087666,13.679378,0.871312,14.550690
35599,4778.447884,3635.185452,13.765204,0.876468,14.641672
35799,4772.469665,3708.346788,13.878792,0.881679,14.760472
35999,4767.421486,3863.797290,13.995084,0.886898,14.881983
36199,4759.575590,3347.314399,14.082423,0.892055,14.974478
36399,4749.671947,2957.112606,14.168804,0.897220,15.066024
36599,4740.821060,3129.959606,14.256781,0.902407,15.159187
36799,4734.377608,3555.225793,14.346064,0.907592,15.253656
36999,4730.152261,3952.688408,14.447849,0.912773,15.360623
37199,4725.778213,3916.579378,14.552479,0.917955,15.470434
37399,4721.940179,4008.065828,14.658910,0.923176,15.582086
37599,4716.977916,3789.034891,14.758816,0.928375,15.687190
37799,4710.438724,3481.070449,14.863338,0.933562,15.796900
37999,4703.947783,3477.160004,14.953486,0.938756,15.892242
38199,4694.492854,2898.056269,15.041816,0.943939,15.985755
38399,4687.227504,3299.545731,15.137999,0.949129,16.087128
38599,4680.254884,3341.511806,15.235239,0.954328,16.189567
38799,4672.798070,3233.632986,15.324348,0.959516,16.283864
38999,4672.444093,4603.772650,15.422628,0.964732,16.387360
39199,4665.107362,3234.444742,15.520649,0.969949,16.490598
39399,4659.165487,3494.557977,15.661270,0.975187,16.636456
39599,4652.046241,3249.554853,15.751443,0.980382,16.731825
39799,4645.920802,3433.083739,15.841480,0.985593,16.827073
39999,4637.862393,3034.239102,15.932014,0.990792,16.922806
40199,4632.922929,3645.030140,16.022677,0.996003,17.018680
40399,4628.697016,3779.288435,16.147897,1.001229,17.149126
40599,4619.576918,2777.317126,16.259398,1.006446,17.265845
40799,4613.034129,3284.847946,16.352988,1.011642,17.364630
40999,4606.908207,3357.220227,16.446056,1.016846,17.462902
41199,4599.765561,3135.523022,16.537669,1.022059,17.559728
41399,4593.309878,3263.439210,16.635677,1.027269,17.662946
41599,4589.039267,3705.022770,16.744257,1.032515,17.776772
41799,4582.643349,3252.292455,16.837483,1.037731,17.875214
41999,4573.825912,2730.981666,16.932555,1.042958,17.975513
42199,4567.745960,3290.955866,17.025056,1.048164,18.073220
42399,4563.430394,3652.845986,17.144074,1.053425,18.197499
42599,4553.415322,2430.220176,17.236724,1.058636,18.295360
42799,4545.698002,2901.908768,17.328170,1.063840,18.392010
42999,4538.739324,3049.582331,17.422209,1.069090,18.491300
43199,4531.209888,2912.381180,17.545938,1.074337,18.620275
43399,4526.163595,3436.164203,17.667043,1.079589,18.746631
43599,4517.238248,2580.437962,17.777387,1.084835,18.862222
43799,4508.775448,2663.885119,17.870915,1.090060,18.960974
43999,4502.762336,3185.890629,17.980380,1.095348,19.075728
44199,4499.853379,3859.882865,18.086057,1.100605,19.186661
44399,4494.649546,3344.602528,18.249947,1.105898,19.355845
44599,4489.664736,3383.036963,18.355849,1.111125,19.466973
44799,4480.661545,2472.949921,18.463197,1.116375,19.579572
44999,4472.873722,2728.401326,18.567151,1.121615,19.688766
45199,4467.840744,3335.420664,18.677147,1.126867,19.804014
45399,4462.886889,3343.315626,18.783998,1.132109,19.916107
45599,4458.994251,3575.365432,18.880504,1.137357,20.017861
45799,4456.650599,3922.297993,18.994498,1.142599,20.137097
45999,4453.566050,3747.204437,19.089181,1.147837,20.237018
46199,4448.893650,3374.241507,19.196964,1.153087,20.350051
46399,4442.447250,2953.328824,19.297687,1.158342,20.456029
46599,4435.601305,2847.342085,19.415216,1.163610,20.578826
46799,4430.583936,3261.537050,19.534328,1.168866,20.703194
46999,4424.471029,2994.050744,19.628803,1.174116,20.802920
47199,4416.520200,2548.075364,19.723078,1.179342,20.902419
47399,4412.832738,3542.591793,19.863712,1.184650,21.048363
47599,4406.669326,2945.940734,19.985684,1.189922,21.175606
47799,4401.974540,3284.615330,20.078376,1.195141,21.273517
47999,4397.751157,3388.362602,20.182941,1.200428,21.383369
48199,4391.488658,2888.488842,20.306644,1.205709,21.512353
48399,4385.220001,2874.473849,20.417540,1.210977,21.628517
48599,4377.056035,2401.376268,20.512382,1.216225,21.728607
48799,4372.098765,3167.482045,20.635079,1.221511,21.856590
48999,4367.291543,3194.329394,20.772428,1.226834,21.999262
49199,4363.707926,3485.721830,20.927259,1.232149,22.159408
49399,4356.204483,2510.357392,21.036415,1.237411,22.273826
49599,4349.010341,2572.057212,21.146857,1.242685,22.389542
49799,4343.520631,2982.072743,21.243038,1.247960,22.490998
49999,4338.112193,2991.411052,21.352143,1.253228,22.605372
50199,4469.035350,37199.824712,21.479443,1.258512,22.737955
50399,4581.157179,32723.736183,21.580922,1.263767,22.844689
50599,4675.055476,28337.426329,21.714399,1.269093,22.983492
50799,4813.192778,39761.930182,21.831829,1.274390,23.106219
50999,4926.584215,33728.009252,21.982440,1.279718,23.262159
51199,5004.041191,24755.570100,22.151706,1.285070,23.436776
51399,5105.271696,31020.280993,22.305046,1.290376,23.595422
51599,5191.272366,27293.444555,22.486237,1.295742,23.781979
51799,5273.811825,26568.992198,22.666617,1.301089,23.967706
51999,5379.996839,32881.915405,22.877904,1.306246,24.184150
52199,5499.579955,36591.190175,22.906730,1.310778,24.217508
52399,5575.165016,25302.865734,22.946638,1.315438,24.262076
52599,5668.301869,30070.157449,22.989472,1.320063,24.309535
52799,5733.019874,22753.855110,23.039150,1.324721,24.363871
52999,5837.377005,33387.659783,23.078305,1.329378,24.407683
53199,5920.763445,28018.170013,23.126848,1.334042,24.460889
53399,5982.704459,22459.014247,23.193906,1.338732,24.532638
53599,6060.912549,26942.472577,23.235303,1.343396,24.578698
53799,6152.388836,30668.033709,23.279729,1.348071,24.627800
53999,6228.045320,26579.639393,23.343421,1.352798,24.696219
54199,6325.533369,32647.306571,23.399456,1.357497,24.756952
54399,6416.058540,30948.380044,23.445750,1.362205,24.807956
54599,6485.117260,25269.088911,23.511198,1.366951,24.878149
54799,6564.518403,28241.030655,23.560166,1.371728,24.931893
54999,6648.212877,29580.498545,23.622028,1.376488,24.998516
55199,6702.465368,21621.900361,23.679375,1.381223,25.060598
55399,6764.570555,23905.602413,23.742026,1.386019,25.128045
55599,6829.707523,24872.647642,23.794668,1.390793,25.185460
55799,6885.199286,22311.909386,23.872552,1.395609,25.268161
55999,6948.695703,24664.195981,23.925800,1.400383,25.326183
56199,7008.894235,23864.483277,23.995807,1.405219,25.401026
56399,7071.360770,24624.457025,24.071259,1.410002,25.481260
56599,7122.735612,21610.441158,24.142644,1.414766,25.557411
56799,7178.663334,23006.208680,24.208212,1.419590,25.627803
56999,7245.843829,26325.104294,24.291259,1.424374,25.715632
57199,7302.192086,23361.445185,24.362256,1.429190,25.791446
57399,7358.129164,23356.133661,24.417322,1.433968,25.851290
57599,7414.282947,23530.418611,24.490078,1.438743,25.928821
57799,7461.833087,21156.273479,24.556911,1.443505,26.000416
57999,7534.804023,28623.404393,24.626293,1.448295,26.074588
58199,7598.114240,25958.077171,24.689915,1.453080,26.142995
58399,7650.086679,22774.066592,24.762711,1.457866,26.220577
58599,7700.604787,22451.892069,24.843274,1.462682,26.305956
58799,7760.603389,25340.193916,24.913931,1.467511,26.381442
58999,7808.569851,21910.709595,24.969608,1.472260,26.441868
59199,7857.533184,22301.716611,25.037782,1.477062,26.514845
59399,7910.893596,23705.575311,25.104539,1.481882,26.586421
59599,7951.360971,19970.171350,25.175739,1.486719,26.662458
59799,7999.935400,22475.115393,25.234172,1.491507,26.725679
59999,8050.061910,23037.888325,25.290899,1.496295,26.787193
60199,8097.516355,22333.849778,25.357808,1.501115,26.858923
60399,8150.896322,24218.266464,25.446424,1.506022,26.952447
60599,8194.627415,21401.417441,25.507529,1.510925,27.018453
60799,8231.041395,19264.477503,25.580807,1.515877,27.096684
60999,8279.357683,22967.509126,25.641675,1.520751,27.162427
61199,8327.984349,23159.117519,25.710379,1.525668,27.236047
61399,8372.325873,21940.832134,25.786181,1.530590,27.316771
61599,8424.382783,24405.854255,25.849499,1.535474,27.384973
61799,8468.029803,21911.311990,25.941407,1.540417,27.481824
61999,8507.247413,20625.488914,26.044063,1.545461,27.589524
62199,8552.176376,22480.154836,26.128877,1.550480,27.679358
62399,8602.234537,24170.322668,26.194738,1.555395,27.750132
62599,8644.666812,21883.536616,26.273108,1.560313,27.833421
62799,8686.793592,21872.475561,26.340347,1.565270,27.905617
62999,8727.821999,21610.742066,26.406704,1.570194,27.976898
63199,8771.020126,22378.430073,26.507489,1.575164,28.082653
63399,8804.261754,19308.616108,26.573720,1.580084,28.153804
63599,8835.584176,18764.792116,26.648643,1.585052,28.233694
63799,8880.925250,23299.386708,26.722248,1.590000,28.312248
63999,8922.454444,22170.267351,26.790144,1.594972,28.385116
64199,8957.971873,20323.548963,26.859706,1.599967,28.459673
64399,9012.941236,26658.106864,26.942273,1.604933,28.547206
64599,9060.962030,24523.657667,27.032913,1.609934,28.642847
64799,9089.574418,18331.375653,27.124107,1.614930,28.739038
64999,9130.448783,22373.743094,27.199246,1.619907,28.819153
65199,9176.684684,24203.352439,27.299360,1.624939,28.924299
65399,9206.166145,18817.122564,27.368679,1.629922,28.998601
65599,9246.523083,22443.241677,27.438587,1.634921,29.073507
65799,9282.542134,21096.791005,27.525330,1.639952,29.165282
65999,9321.494040,22136.671257,27.619027,1.644975,29.264002
66199,9358.804319,21671.196313,27.698026,1.650003,29.348029
66399,9392.234267,20457.546864,27.770491,1.654974,29.425464
66599,9433.433202,23111.479613,27.852630,1.659999,29.512629
66799,9474.358125,23102.357760,27.925127,1.665005,29.590132
66999,9514.460655,22908.705632,28.028906,1.670038,29.698943
67199,9546.139505,20158.554087,28.115657,1.675049,29.790706
67399,9575.948943,19591.920154,28.197055,1.680075,29.877130
67599,9599.323636,17476.595031,28.271002,1.685091,29.956093
67799,9630.771950,20260.302234,28.343001,1.690081,30.033082
67999,9660.800795,19840.579135,28.417107,1.695081,30.112188
68199,9692.998268,20640.139190,28.518857,1.700105,30.218962
68399,9725.624296,20851.099990,28.591800,1.705115,30.296914
68599,9762.658014,22428.189380,28.667995,1.710137,30.378132
68799,9801.071035,22976.737188,28.756782,1.715177,30.471960
68999,9828.436744,19242.240599,28.867275,1.720260,30.587535
69199,9857.419061,19856.318704,28.950363,1.725314,30.675677
69399,9893.771158,22471.596570,29.051688,1.730424,30.782112
69599,9924.050679,20431.044589,29.127019,1.735492,30.862511
69799,9951.709213,19576.878829,29.200822,1.740539,30.941361
69999,9991.471338,23868.453112,29.287792,1.745611,31.033402
70199,10025.462848,21922.491434,29.387719,1.750697,31.138416
70399,10061.164358,22592.394272,29.469779,1.755789,31.225568
70599,10094.000825,21652.437069,29.546896,1.760877,31.307773
70799,10132.144942,23597.018525,29.625314,1.765940,31.391254
70999,10148.503591,15939.465241,29.702945,1.770990,31.473936
71199,10171.329302,18274.456710,29.789124,1.776044,31.565168
71399,10197.792669,19618.751268,29.869631,1.781144,31.650775
71599,10217.897909,17395.468395,29.956155,1.786237,31.742391
71799,10245.357747,20075.980028,30.074011,1.791385,31.865397
71999,10262.546808,16433.419521,30.152872,1.796447,31.949319
72199,10289.013709,19817.098273,30.241818,1.801523,32.043341
72399,10311.508231,18432.030711,30.322262,1.806611,32.128873
72599,10335.494489,19018.519668,30.423864,1.811721,32.235585
72799,10362.042311,19998.901811,30.511957,1.816823,32.328780
72999,10384.900930,18705.438191,30.590612,1.821905,32.412516
73199,10405.157808,17798.918318,30.673940,1.827010,32.500950
73399,10429.733224,19424.335463,30.781505,1.832115,32.613620
73599,10455.075091,19755.540298,30.863874,1.837237,32.701111
73799,10480.373147,19790.057562,30.959731,1.842367,32.802098
73999,10490.359447,14175.304289,31.050064,1.847490,32.897554
74199,10519.384969,21258.827994,31.131509,1.852613,32.984122
