# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=450000, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=400000, random_state=None... stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=50000, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1)
# [AXGBRegSD] AdaptiveSemiRegressorJ(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegSD_abrupto5.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegSD],current_mse_[AXGBRegSD],training_time_[AXGBRegSD],testing_time_[AXGBRegSD],total_running_time_[AXGBRegSD]
60199,4202.090659,8276.462589,26.253195,13.496933,39.750129
60399,4216.292648,8491.091373,26.339870,13.541898,39.881768
60599,4227.273704,7543.552639,26.420321,13.586634,40.006956
60799,4240.859420,8357.331378,26.517670,13.637428,40.155098
60999,4252.037610,7650.207312,26.598519,13.682309,40.280828
61199,4266.962133,8818.941625,26.679666,13.727035,40.406702
61399,4277.263334,7429.430911,26.766967,13.772091,40.539058
61599,4293.707639,9342.109151,26.890108,13.817251,40.707359
61799,4309.900363,9297.259262,26.976125,13.862192,40.838317
61999,4324.125598,8719.723279,27.056766,13.907294,40.964059
62199,4344.606036,10693.541992,27.137668,13.952296,41.089964
62399,4358.623736,8718.128392,27.225793,13.997497,41.223290
62599,4370.445643,8058.880704,27.306470,14.042451,41.348921
62799,4383.706651,8534.402160,27.387413,14.087416,41.474829
62999,4396.516319,8418.752070,27.468604,14.132509,41.601113
63199,4409.647875,8546.087913,27.550869,14.177572,41.728440
63399,4423.017331,8647.765301,27.639489,14.222769,41.862257
63599,4433.122040,7636.314737,27.720872,14.268137,41.989009
63799,4441.014723,6950.888002,27.802348,14.313282,42.115630
63999,4453.532685,8446.762716,27.884484,14.358537,42.243021
64199,4463.709451,7720.274432,27.966243,14.403845,42.370088
64399,4476.464873,8570.955293,28.054498,14.448920,42.503418
64599,4486.946406,7862.000086,28.135559,14.494016,42.629576
64799,4503.628207,9891.849944,28.217576,14.539054,42.756631
64999,4513.788645,7805.770698,28.299170,14.584273,42.883443
65199,4524.865681,8124.902202,28.380655,14.629319,43.009975
