# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=450000, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=400000, random_state=None... stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=50000, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1)
# [AXGBRegR] AdaptiveSemiRegressorJULIA(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegR_abrupto3.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegR],current_mse_[AXGBRegR],training_time_[AXGBRegR],testing_time_[AXGBRegR],total_running_time_[AXGBRegR]
47599,2302.275811,1274.522010,1.093564,8.838130,9.931695
47799,2299.526215,1645.122207,1.095290,8.871295,9.966586
47999,2296.485445,1569.741517,1.097105,8.903191,10.000296
48199,2293.272068,1522.061484,1.170352,8.935226,10.105579
48399,2290.619183,1651.273962,1.171645,8.967538,10.139184
48599,2286.712550,1341.307362,1.173174,9.000366,10.173541
48799,2284.786893,1816.852124,1.174987,9.034462,10.209448
48999,2281.404048,1455.989971,1.176782,9.066981,10.243763
49199,2277.284695,1268.043336,1.188098,9.099784,10.287882
49399,2273.374699,1311.515683,1.189401,9.129974,10.319375
49599,2270.253577,1499.336236,1.191109,9.172711,10.363821
49799,2266.812804,1413.501194,1.192626,9.203490,10.396116
49999,2262.244809,1124.814068,1.194622,9.244081,10.438703
50199,2381.760896,32260.782569,1.207852,9.279866,10.487719
50399,2485.718997,28579.202352,1.209173,9.316159,10.525332
50599,2589.110890,28643.868069,1.210902,9.355611,10.566513
50799,2721.530524,36223.697902,1.212478,9.388074,10.600552
50999,2830.445395,30494.822595,1.214238,9.424670,10.638908
51199,2903.874334,21628.253723,1.228777,9.458668,10.687445
51399,2975.025186,21189.643357,1.230159,9.490720,10.720879
51599,3047.555038,21687.726962,1.231568,9.521995,10.753563
51799,3127.671717,23797.775027,1.233159,9.553662,10.786821
51999,3218.210224,26667.683335,1.235094,9.589778,10.824872
52199,3315.786351,28685.579446,1.248214,9.621578,10.869792
52399,3377.772484,19556.153313,1.249641,9.655312,10.904953
52599,3442.731167,20461.905998,1.251230,9.687969,10.939199
52799,3495.053116,17255.725741,1.252824,9.723834,10.976659
52999,3567.211768,22617.095760,1.254656,9.761220,11.015877
53199,3611.357168,15309.888242,1.272041,9.808649,11.080690
53399,3653.422512,14842.803923,1.273441,9.849829,11.123270
53599,3693.638991,14431.439007,1.275100,9.892503,11.167604
53799,3754.512111,20068.508274,1.276991,9.943525,11.220516
53999,3793.946369,14401.761897,1.278907,9.985258,11.264165
54199,3836.340306,15282.703200,1.292230,10.027489,11.319719
54399,3873.042404,13819.311046,1.293767,10.078463,11.372230
54599,3907.339947,13236.271407,1.295169,10.114454,11.409623
54799,3950.422060,15711.838942,1.296960,10.147146,11.444106
54999,3989.752170,14766.202441,1.298698,10.177760,11.476457
55199,4019.199101,12117.105150,1.312307,10.210715,11.523023
