# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=450000, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=400000, random_state=None... stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=50000, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1)
# [AXGBRegR] AdaptiveSemiRegressorJULIA(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegR_abrupto1.out', pretrain_size=0, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegR],current_mse_[AXGBRegR],training_time_[AXGBRegR],testing_time_[AXGBRegR],total_running_time_[AXGBRegR]
40399,2448.676538,1288.208929,0.938278,7.558643,8.496921
40599,2444.268306,1553.805424,0.939779,7.587843,8.527622
40799,2439.303787,1431.506509,0.941214,7.613926,8.555140
40999,2434.512855,1457.162602,0.942877,7.642500,8.585377
41199,2429.359780,1372.979383,0.955522,7.671404,8.626926
41399,2424.013340,1322.646684,0.956905,7.703906,8.660811
41599,2419.084777,1398.872279,0.958538,7.734171,8.692709
41799,2416.766914,1934.651415,0.960496,7.767389,8.727885
41999,2410.257711,1049.834360,0.962259,7.796331,8.758589
42199,2404.384517,1171.013644,0.974825,7.822571,8.797397
42399,2399.111594,1286.524862,0.976325,7.856594,8.832918
42599,2395.470723,1623.606032,0.977980,7.887058,8.865038
42799,2391.070626,1453.850107,0.979869,7.921202,8.901071
42999,2386.537759,1416.504264,0.981402,7.947694,8.929097
43199,2383.467935,1723.455645,0.997526,7.977907,8.975433
43399,2379.506747,1523.890254,0.999017,8.013319,9.012336
43599,2375.225363,1446.165020,1.000402,8.044226,9.044628
43799,2370.929370,1434.402940,1.001790,8.071281,9.073071
43999,2366.938782,1492.999942,1.003502,8.100197,9.103699
44199,2364.087634,1736.835076,1.017423,8.130437,9.147860
44399,2361.219910,1727.452920,1.018774,8.162165,9.180939
44599,2358.723432,1804.505257,1.020119,8.189610,9.209729
44799,2354.296122,1367.005903,1.022105,8.230641,9.252746
44999,2349.088687,1182.623282,1.023891,8.262166,9.286056
45199,2344.711345,1359.809500,1.042135,8.297716,9.339851
45399,2340.819873,1461.347271,1.043200,8.323356,9.366557
45599,2337.834466,1660.147033,1.044754,8.355257,9.400010
45799,2334.042566,1469.489263,1.046249,8.382941,9.429189
45999,2330.687258,1562.321872,1.048111,8.416519,9.464630
46199,2326.655459,1399.341518,1.062164,8.447111,9.509276
46399,2324.041180,1720.142852,1.063690,8.481802,9.545492
46599,2320.482002,1494.752541,1.065026,8.510903,9.575929
46799,2317.962333,1730.879679,1.066870,8.544702,9.611572
46999,2314.744382,1561.743708,1.068605,8.574930,9.643535
47199,2310.500294,1313.139664,1.086377,8.611380,9.697757
47399,2306.612325,1389.051707,1.087682,8.642112,9.729793
47599,2302.275811,1274.522010,1.088953,8.668935,9.757888
47799,2299.526215,1645.122207,1.090525,8.698986,9.789511
47999,2296.485445,1569.741517,1.092345,8.729482,9.821827
48199,2293.272068,1522.061484,1.163262,8.768572,9.931834
