# TEST CONFIGURATION BEGIN
# HyperplaneGenerator(mag_change=0.0, n_drift_features=2, n_features=10, noise_percentage=0.05, random_state=None, sigma_percentage=0.1)
# [AXGBRegSD] AdaptiveSemiRegressorJ(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegSD_incremental2.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegSD],current_mse_[AXGBRegSD],training_time_[AXGBRegSD],testing_time_[AXGBRegSD],total_running_time_[AXGBRegSD]
71199,0.144646,0.193998,30.412809,15.885462,46.298271
71399,0.144621,0.135597,30.500896,15.929900,46.430796
71599,0.144709,0.176068,30.582654,15.974192,46.556845
71799,0.144737,0.154999,30.664663,16.018605,46.683268
71999,0.144697,0.130240,30.747949,16.063016,46.810965
72199,0.144749,0.163425,30.830482,16.107493,46.937976
72399,0.144814,0.168413,30.918939,16.152072,47.071011
72599,0.144828,0.149690,31.001091,16.196508,47.197599
72799,0.144882,0.164655,31.083953,16.240850,47.324804
72999,0.145002,0.188548,31.165970,16.285278,47.451248
73199,0.145084,0.175043,31.248716,16.329852,47.578569
73399,0.145143,0.166928,31.337143,16.374393,47.711536
73599,0.145185,0.160289,31.420442,16.418998,47.839439
73799,0.145205,0.152705,31.502940,16.463625,47.966565
73999,0.145230,0.154398,31.585202,16.508169,48.093372
74199,0.145256,0.154838,31.667619,16.552680,48.220299
74399,0.145254,0.144499,31.757656,16.597352,48.355009
74599,0.145282,0.155615,31.839793,16.641840,48.481633
74799,0.145263,0.138317,31.922027,16.686355,48.608381
74999,0.145289,0.155183,32.004184,16.730786,48.734970
75199,0.145438,0.201280,32.087545,16.775122,48.862667
75399,0.145504,0.170351,32.176423,16.819805,48.996228
75599,0.145676,0.210568,32.258579,16.864242,49.122822
75799,0.145759,0.176999,32.340816,16.908883,49.249699
75999,0.145843,0.177541,32.424602,16.953487,49.378088
