# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=375000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=250000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=125000.0, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=10000.0), width=10000.0), width=10000.0)
# [AXGBRegS] AdaptiveSemiRegressorJS(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegS_gradual4.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegS],current_mse_[AXGBRegS],training_time_[AXGBRegS],testing_time_[AXGBRegS],total_running_time_[AXGBRegS]
30199,2770.777985,1564.683560,1.013589,6.420053,7.433641
30399,2762.145381,1458.622143,1.015809,6.463468,7.479276
30599,2754.796717,1637.799888,1.018114,6.506665,7.524779
30799,2744.983125,1243.503550,1.020540,6.549777,7.570317
30999,2737.055424,1516.189425,1.023086,6.592878,7.615964
31199,2727.566515,1256.785543,1.030985,6.636223,7.667208
31399,2719.881167,1520.966941,1.033230,6.679784,7.713014
31599,2711.914653,1461.172025,1.035537,6.722829,7.758366
31799,2703.792692,1420.522856,1.037921,6.765909,7.803831
31999,2695.927242,1445.320616,1.040414,6.808953,7.849367
32199,2688.462155,1494.048284,1.048487,6.851986,7.900473
32399,2680.119972,1337.028476,1.050707,6.895163,7.945870
32599,2671.929321,1345.043830,1.053047,6.938412,7.991458
32799,2662.689449,1156.590409,1.055478,6.982097,8.037576
32999,2654.986907,1391.769900,1.057988,7.025119,8.083107
33199,2646.880279,1309.286737,1.066133,7.068405,8.134538
33399,2639.467904,1409.013606,1.068337,7.111943,8.180280
33599,2631.561547,1311.199910,1.070629,7.154862,8.225492
33799,2625.592460,1622.785870,1.073006,7.197761,8.270767
33999,2617.830264,1306.019059,1.075516,7.240831,8.316347
34199,2610.822123,1419.438175,1.083560,7.284197,8.367756
34399,2603.237509,1306.268567,1.085774,7.327875,8.413649
34599,2597.367721,1587.764221,1.088085,7.371068,8.459154
34799,2590.640139,1426.768402,1.090527,7.414368,8.504895
34999,2582.636206,1189.951893,1.093075,7.457589,8.550664
35199,2575.328787,1296.530427,1.101007,7.500838,8.601845
35399,2568.239664,1320.554029,1.103231,7.544359,8.647590
35599,2561.504994,1369.468396,1.105557,7.587371,8.692928
35799,2554.334913,1278.060567,1.108001,7.630718,8.738719
35999,2549.515829,1686.899696,1.110548,7.673915,8.784462
36199,2543.470210,1455.258902,1.118602,7.717520,8.836122
36399,2536.621413,1296.989128,1.120835,7.760854,8.881689
36599,2531.090346,1524.436082,1.123148,7.803954,8.927102
36799,2526.053303,1604.274533,1.125546,7.847055,8.972601
36999,2519.874105,1382.901550,1.128062,7.890231,9.018293
37199,2514.925324,1599.400918,1.136346,7.933171,9.069518
37399,2507.512571,1128.740520,1.138542,7.976230,9.114772
37599,2501.360126,1350.852794,1.140892,8.020039,9.160931
37799,2495.978688,1484.268509,1.143288,8.063071,9.206359
37999,2489.896515,1340.365648,1.145791,8.106283,9.252074
38199,2485.158879,1585.008181,1.153921,8.149558,9.303479
38399,2479.121848,1326.048844,1.156149,8.193220,9.349369
38599,2473.165291,1329.506336,1.158439,8.236233,9.394671
38799,2467.985329,1468.252678,1.160830,8.279478,9.440308
38999,2461.973295,1295.638684,1.163338,8.324207,9.487546
39199,2457.835525,1650.970515,1.171681,8.367475,9.539155
39399,2452.648599,1436.011089,1.173892,8.411095,9.584987
39599,2446.192965,1174.433033,1.176226,8.454757,9.630983
39799,2441.017244,1416.224468,1.178617,8.497933,9.676550
39999,2436.879423,1613.452920,1.181136,8.541200,9.722336
40199,2431.657309,1387.234513,1.189456,8.584373,9.773829
40399,2427.967847,1686.386133,1.191687,8.628234,9.819921
40599,2421.586850,1132.625356,1.194005,8.671427,9.865432
40799,2416.433977,1370.400841,1.196436,8.714584,9.911020
40999,2410.656122,1231.973580,1.198940,8.757815,9.956755
41199,2404.726245,1189.101471,1.204417,8.800797,10.005214
41399,2400.301854,1488.877449,1.206649,8.844194,10.050843
41599,2396.606820,1631.734684,1.208953,8.886987,10.095939
41799,2393.224357,1689.672054,1.211372,8.929966,10.141338
41999,2389.803243,1674.790431,1.213869,8.972799,10.186667
42199,2385.643250,1512.044820,1.219414,9.015571,10.234984
42399,2383.873753,2010.509903,1.221646,9.059101,10.280747
42599,2380.524764,1670.539090,1.223941,9.101995,10.325936
42799,2377.302580,1690.977390,1.226330,9.144821,10.371152
42999,2374.284786,1728.476703,1.228833,9.187601,10.416434
43199,2370.208866,1493.886029,1.234371,9.230587,10.464958
43399,2367.237752,1725.477319,1.236600,9.273959,10.510560
43599,2363.307620,1510.468998,1.238893,9.316617,10.555509
43799,2358.782698,1372.349623,1.241292,9.359478,10.600770
43999,2353.743553,1250.170761,1.243802,9.402344,10.646146
44199,2351.110780,1771.900765,1.249253,9.445043,10.694296
44399,2346.895193,1415.250434,1.251496,9.488621,10.740117
44599,2344.478434,1807.957886,1.253788,9.531472,10.785259
44799,2341.662989,1713.818699,1.256196,9.574382,10.830578
44999,2337.435691,1390.521000,1.258691,9.617180,10.875871
45199,2334.346518,1639.282528,1.264184,9.659966,10.924150
45399,2330.766596,1521.704435,1.266385,9.702756,10.969141
45599,2328.465191,1806.046049,1.268703,9.745594,11.014297
45799,2325.154604,1570.340886,1.271143,9.789143,11.060286
45999,2321.449735,1473.034619,1.273670,9.832216,11.105886
46199,2318.004136,1525.516547,1.279125,9.875069,11.154194
46399,2314.104625,1413.317430,1.281321,9.917842,11.199163
46599,2309.846781,1322.027069,1.283659,9.961531,11.245191
46799,2306.074212,1427.065554,1.286086,10.004432,11.290518
46999,2302.233868,1403.593540,1.288611,10.047559,11.336170
47199,2297.462347,1176.154841,1.294102,10.090418,11.384519
47399,2293.686234,1402.523530,1.296300,10.133330,11.429630
47599,2288.986462,1175.140589,1.298652,10.176758,11.475410
47799,2286.022564,1580.614821,1.301071,10.220121,11.521192
47999,2281.892382,1294.778858,1.303586,10.263177,11.566763
48199,2278.428888,1447.190224,1.309207,10.306270,11.615477
48399,2274.569304,1344.409601,1.311455,10.350008,11.661462
48599,2271.634541,1561.421817,1.313753,10.392888,11.706642
48799,2267.713241,1314.837403,1.316165,10.435850,11.752015
48999,2263.673695,1278.024423,1.318673,10.478720,11.797393
49199,2261.233468,1663.378024,1.324184,10.521638,11.845822
49399,2257.920560,1442.945046,1.326415,10.565117,11.891532
49599,2255.502434,1658.225453,1.328736,10.608081,11.936817
49799,2252.482912,1503.641256,1.331175,10.651195,11.982370
49999,2249.061501,1397.130397,1.333714,10.694060,12.027773
50199,2245.996033,1479.629026,1.339313,10.737109,12.076422
50399,2242.992584,1489.126795,1.341549,10.780489,12.122038
50599,2239.914208,1464.163339,1.343855,10.823372,12.167227
50799,2236.231030,1304.386968,1.346280,10.866410,12.212689
50999,2234.292001,1741.778875,1.348809,10.909520,12.258329
51199,2230.814158,1343.964053,1.356361,10.952389,12.308751
51399,2226.859835,1214.553047,1.358551,10.995294,12.353845
