# TEST CONFIGURATION BEGIN
# HyperplaneGenerator(mag_change=0.0, n_drift_features=2, n_features=10, noise_percentage=0.05, random_state=None, sigma_percentage=0.1)
# [ARFReg] AdaptiveRandomForestRegressor(aggregation_method='median', binary_split=False, drift_detection_criteria='mse', drift_detection_method=ADWIN(delta=0.001), grace_period=50, lambda_value=6, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.1, max_byte_size=1048576000, max_features='auto', memory_estimate_period=2000000, n_estimators=10, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=0.01, stop_mem_management=False, tie_threshold=0.05, warning_detection_method=ADWIN(delta=0.01), weighted_vote_strategy=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_ARFReg_incremental4.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[ARFReg],current_mse_[ARFReg],training_time_[ARFReg],testing_time_[ARFReg],total_running_time_[ARFReg]
52599,0.115909,0.106365,258.035500,16.621732,274.657232
52799,0.115924,0.119789,259.720227,16.693068,276.413294
52999,0.115992,0.133798,261.469142,16.764106,278.233248
53199,0.115929,0.099344,262.631751,16.835244,279.466995
53399,0.115942,0.119504,264.180532,16.906367,281.086898
53599,0.115937,0.114446,265.845065,16.977310,282.822375
53799,0.115837,0.089198,267.092340,17.048899,284.141240
53999,0.115810,0.108353,268.713877,17.119992,285.833869
54199,0.115694,0.084332,270.402295,17.191483,287.593778
54399,0.115612,0.093386,271.601684,17.262495,288.864179
54599,0.115490,0.082335,273.312187,17.333835,290.646021
54799,0.115516,0.122803,274.950889,17.404681,292.355569
54999,0.115476,0.104326,276.727341,17.476489,294.203831
55199,0.115364,0.084594,277.823602,17.547656,295.371259
55399,0.115288,0.094364,279.505534,17.619246,297.124780
55599,0.115296,0.117657,281.281432,17.690720,298.972152
55799,0.115240,0.099547,282.522250,17.761818,300.284068
55999,0.115236,0.114140,284.328525,17.833132,302.161658
56199,0.115196,0.104063,286.024104,17.904627,303.928731
56399,0.115156,0.103830,287.743220,17.976582,305.719802
56599,0.115094,0.097732,288.990882,18.048167,307.039049
56799,0.115080,0.110869,290.673495,18.119831,308.793326
56999,0.115039,0.103559,292.405862,18.191542,310.597404
57199,0.115069,0.123470,293.711318,18.263585,311.974903
57399,0.115001,0.095611,295.514230,18.335602,313.849832
57599,0.115005,0.116067,297.250522,18.407589,315.658111
57799,0.114949,0.099002,298.452052,18.479274,316.931326
57999,0.114949,0.114871,300.152384,18.551206,318.703589
58199,0.114878,0.094412,301.846004,18.622783,320.468787
58399,0.114870,0.112555,302.981926,18.694220,321.676145
58599,0.114794,0.092623,304.747794,18.766278,323.514072
58799,0.114801,0.116611,306.535817,18.838772,325.374589
58999,0.114810,0.117692,308.466175,18.911625,327.377800
59199,0.114728,0.090479,309.736674,18.983728,328.720401
59399,0.114694,0.104452,311.572757,19.056139,330.628896
59599,0.114712,0.120034,313.429775,19.128511,332.558286
59799,0.114768,0.131617,315.220882,19.200666,334.421548
59999,0.114671,0.085552,317.020692,19.272686,336.293378
60199,0.114707,0.125491,318.246582,19.344763,337.591346
60399,0.114733,0.122558,320.090066,19.417188,339.507254
60599,0.114704,0.106103,321.961401,19.489724,341.451125
60799,0.114664,0.102589,323.944147,19.562676,343.506823
60999,0.114685,0.121030,325.782431,19.634960,345.417390
61199,0.114654,0.105302,327.504957,19.707345,347.212301
61399,0.114677,0.121433,328.842765,19.780007,348.622772
61599,0.114640,0.103419,330.702214,19.852481,350.554695
61799,0.114645,0.116095,332.649894,19.925309,352.575203
61999,0.114711,0.135344,334.583308,19.997964,354.581272
62199,0.114708,0.113661,336.407741,20.070575,356.478316
62399,0.114673,0.103701,338.403510,20.143635,358.547145
62599,0.114693,0.120904,340.423413,20.216485,360.639898
62799,0.114687,0.112967,341.724782,20.288855,362.013637
62999,0.114607,0.089537,343.557301,20.361497,363.918799
63199,0.114602,0.112743,345.476911,20.434286,365.911198
63399,0.114526,0.090528,347.310515,20.507017,367.817532
63599,0.114527,0.115132,349.173526,20.580084,369.753610
63799,0.114457,0.092033,350.568761,20.653176,371.221937
63999,0.114443,0.109930,352.430442,20.726231,373.156673
64199,0.114458,0.119414,354.283271,20.799088,375.082359
64399,0.114497,0.126983,356.162457,20.871991,377.034448
64599,0.114485,0.110657,357.493280,20.945078,378.438358
64799,0.114421,0.093797,359.448209,21.018091,380.466299
64999,0.114411,0.110954,361.490814,21.091528,382.582342
65199,0.114388,0.107051,363.336653,21.164823,384.501476
65399,0.114361,0.105514,365.421702,21.238068,386.659771
65599,0.114327,0.103270,367.466981,21.311709,388.778691
65799,0.114296,0.104074,369.445189,21.385284,390.830473
65999,0.114222,0.089777,371.420590,21.458576,392.879166
66199,0.114254,0.124829,373.350773,21.531925,394.882698
66399,0.114221,0.103397,374.715432,21.605061,396.320492
66599,0.114159,0.093392,376.848052,21.679129,398.527181
66799,0.114185,0.122960,378.811901,21.752400,400.564301
66999,0.114173,0.110298,380.873084,21.825727,402.698811
67199,0.114144,0.104451,382.946294,21.899555,404.845849
67399,0.114083,0.093604,384.849506,21.973070,406.822575
67599,0.114074,0.110781,386.759540,22.046349,408.805889
67799,0.114048,0.105231,388.688490,22.119905,410.808395
67999,0.113998,0.097238,390.619739,22.193581,412.813320
68199,0.113972,0.105241,392.620025,22.267052,414.887077
68399,0.113905,0.090863,393.865357,22.339935,416.205291
68599,0.113959,0.132445,396.007592,22.413963,418.421555
68799,0.113888,0.089664,397.979434,22.487475,420.466909
68999,0.113842,0.097802,400.040025,22.561403,422.601427
69199,0.113789,0.095564,402.044316,22.634992,424.679308
69399,0.113740,0.096802,404.145969,22.708917,426.854885
69599,0.113715,0.105100,406.216472,22.783018,428.999490
69799,0.113709,0.111475,408.119051,22.856328,430.975379
69999,0.113713,0.115088,410.240490,22.930333,433.170824
70199,0.113689,0.105417,412.350989,23.003927,435.354917
70399,0.113700,0.117413,413.580337,23.076989,436.657326
70599,0.113739,0.127463,415.539201,23.150299,438.689500
70799,0.113852,0.153927,417.592022,23.224448,440.816470
70999,0.113883,0.124751,419.678611,23.298664,442.977274
71199,0.113856,0.104501,421.615015,23.372170,444.987185
71399,0.113851,0.111949,423.803220,23.446524,447.249744
71599,0.113847,0.112223,425.193729,23.520359,448.714087
71799,0.113773,0.087288,427.233339,23.594213,450.827552
71999,0.113722,0.095556,429.377468,23.668627,453.046095
72199,0.113735,0.118269,431.354760,23.742958,455.097718
72399,0.113761,0.123135,433.388266,23.817188,457.205454
72599,0.113680,0.084637,435.435849,23.891234,459.327082
72799,0.113663,0.107217,437.576268,23.965574,461.541842
72999,0.113634,0.103196,439.580893,24.039856,463.620749
73199,0.113615,0.106687,441.841970,24.114921,465.956892
73399,0.113587,0.103329,444.032971,24.189314,468.222285
73599,0.113525,0.090922,446.209317,24.264156,470.473473
73799,0.113532,0.116125,448.298592,24.339032,472.637623
73999,0.113522,0.109664,450.606143,24.413587,475.019730
74199,0.113517,0.111835,452.802121,24.488202,477.290323
74399,0.113497,0.105811,455.018463,24.562627,479.581090
74599,0.113494,0.112603,457.192008,24.637702,481.829710
74799,0.113478,0.107300,459.510508,24.713208,484.223716
74999,0.113540,0.136716,461.660672,24.787905,486.448577
75199,0.113424,0.069970,463.834933,24.862035,488.696968
75399,0.113417,0.110839,466.116054,24.937102,491.053157
75599,0.113454,0.127386,468.098931,25.011799,493.110730
75799,0.113418,0.099734,470.215246,25.086440,495.301685
75999,0.113422,0.115041,472.464915,25.161479,497.626394
76199,0.113390,0.101282,474.619100,25.236149,499.855249
76399,0.113385,0.111300,476.839822,25.311271,502.151093
76599,0.113365,0.106074,479.126582,25.386360,504.512943
76799,0.113301,0.088700,481.446659,25.461617,506.908276
76999,0.113285,0.107239,483.510733,25.536135,509.046869
77199,0.113319,0.126268,485.863092,25.611499,511.474591
77399,0.113324,0.115165,488.122532,25.686607,513.809140
77599,0.113320,0.111911,490.247260,25.761002,516.008262
77799,0.113309,0.109082,492.434767,25.836017,518.270785
77999,0.113322,0.118283,494.737001,25.910873,520.647874
78199,0.113286,0.099028,496.920971,25.986108,522.907079
78399,0.113280,0.111029,499.116108,26.061451,525.177559
78599,0.113247,0.100352,500.510667,26.136282,526.646949
78799,0.113230,0.106621,502.736134,26.211584,528.947718
78999,0.113167,0.088198,505.815621,26.286981,532.102601
79199,0.113215,0.132197,507.262785,26.361933,533.624718
79399,0.113157,0.090341,509.409992,26.436658,535.846651
