# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=375000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=250000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=125000.0, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=1), width=1), width=1)
# [D_SEM_RESET] AdaptiveSemiRegressorJS(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='out', pretrain_size=0, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_mse_[D_SEM_RESET],current_mse_[D_SEM_RESET],training_time_[D_SEM_RESET],testing_time_[D_SEM_RESET],total_running_time_[D_SEM_RESET]
41599,2396.606820,1631.734684,1.131932,13.279237,14.411169
41799,2393.224357,1689.672054,1.133686,13.323919,14.457604
41999,2389.803243,1674.790431,1.135968,13.370462,14.506430
42199,2385.643250,1512.044820,1.143503,13.413042,14.556545
42399,2383.873753,2010.509903,1.145571,13.472097,14.617668
42599,2380.524764,1670.539090,1.147466,13.515960,14.663426
42799,2377.302580,1690.977390,1.149429,13.556943,14.706373
42999,2374.284786,1728.476703,1.151626,13.602158,14.753784
43199,2370.208866,1493.886029,1.161507,13.650215,14.811722
43399,2367.237752,1725.477319,1.163145,13.691416,14.854561
43599,2363.307620,1510.468998,1.164877,13.739069,14.903946
43799,2358.782698,1372.349623,1.166827,13.779546,14.946373
43999,2353.743553,1250.170761,1.169371,13.829977,14.999347
44199,2351.110780,1771.900765,1.178186,13.878059,15.056245
44399,2346.895193,1415.250434,1.180156,13.929496,15.109652
44599,2344.478434,1807.957886,1.182124,13.978401,15.160526
44799,2341.662989,1713.818699,1.183761,14.035969,15.219730
44999,2337.435691,1390.521000,1.185655,14.085005,15.270661
45199,2334.346518,1639.282528,1.193369,14.140725,15.334094
45399,2330.766596,1521.704435,1.194877,14.184478,15.379355
45599,2328.465191,1806.046049,1.196768,14.233352,15.430120
45799,2325.154604,1570.340886,1.198520,14.271720,15.470240
45999,2321.449735,1473.034619,1.200576,14.317722,15.518297
46199,2318.004136,1525.516547,1.207541,14.367510,15.575051
46399,2314.104625,1413.317430,1.208986,14.410896,15.619882
46599,2309.846781,1322.027069,1.210759,14.461436,15.672195
46799,2306.074212,1427.065554,1.212591,14.502283,15.714874
46999,2302.233868,1403.593540,1.215774,14.660841,15.876615
47199,2297.462347,1176.154841,1.223234,14.714236,15.937471
47399,2293.686234,1402.523530,1.224896,14.765732,15.990628
47599,2288.986462,1175.140589,1.226276,14.809429,16.035705
47799,2286.022564,1580.614821,1.228183,14.856631,16.084814
47999,2281.892382,1294.778858,1.230161,14.909501,16.139662
48199,2278.428888,1447.190224,1.239508,14.946627,16.186135
48399,2274.569304,1344.409601,1.241012,14.994401,16.235413
48599,2271.634541,1561.421817,1.243022,15.050733,16.293755
48799,2267.713241,1314.837403,1.244977,15.092228,16.337205
48999,2263.673695,1278.024423,1.247247,15.137219,16.384466
49199,2261.233468,1663.378024,1.256643,15.183912,16.440555
49399,2257.920560,1442.945046,1.258339,15.234235,16.492575
49599,2255.502434,1658.225453,1.259895,15.274487,16.534382
49799,2252.482912,1503.641256,1.262861,15.390836,16.653697
49999,2249.061501,1397.130397,1.264744,15.440713,16.705457
50199,2245.996033,1479.629026,1.273394,15.493917,16.767311
50399,2242.992584,1489.126795,1.274821,15.538033,16.812854
50599,2239.914208,1464.163339,1.276840,15.590063,16.866903
50799,2236.231030,1304.386968,1.278741,15.654446,16.933187
50999,2234.292001,1741.778875,1.280731,15.708583,16.989314
51199,2230.814158,1343.964053,1.296096,15.753236,17.049332
51399,2226.859835,1214.553047,1.297415,15.825970,17.123385
51599,2223.624853,1392.234556,1.299075,15.873244,17.172319
51799,2219.866959,1250.330273,1.301151,15.921062,17.222214
51999,2216.121452,1246.035258,1.302815,15.981345,17.284159
52199,2212.216465,1196.919925,1.318362,16.041239,17.359602
52399,2208.542549,1249.650466,1.320080,16.093941,17.414022
52599,2205.338918,1365.987599,1.322569,16.148394,17.470963
52799,2201.504005,1192.921886,1.324465,16.187434,17.511898
52999,2197.598977,1166.671423,1.326978,16.235278,17.562255
53199,2194.151382,1280.538696,1.340442,16.282855,17.623297
53399,2190.930594,1334.201165,1.341894,16.320660,17.662554
53599,2187.985870,1401.744325,1.343775,16.383680,17.727455
53799,2185.073506,1404.560031,1.346008,16.438213,17.784220
53999,2182.457657,1478.794435,1.348130,16.481573,17.829702
54199,2178.944323,1230.343962,1.363178,16.536509,17.899687
54399,2176.146848,1418.031050,1.364479,16.577989,17.942468
54599,2172.070033,1063.176396,1.366410,16.623159,17.989570
54799,2169.058728,1346.972560,1.368667,16.675102,18.043768
54999,2166.285548,1406.434219,1.370615,16.724226,18.094841
55199,2163.124356,1293.796504,1.382966,16.775102,18.158068
55399,2160.234511,1362.637321,1.384735,16.823186,18.207921
55599,2158.033930,1548.473011,1.386512,16.876759,18.263271
55799,2155.194832,1365.925661,1.388652,16.930711,18.319363
55999,2152.050908,1274.896138,1.390848,16.973016,18.363864
56199,2149.647958,1476.821893,1.403909,17.022881,18.426789
56399,2146.910540,1377.695968,1.405673,17.074173,18.479847
56599,2144.170727,1371.543642,1.407797,17.123411,18.531208
56799,2140.922302,1221.617884,1.409850,17.176219,18.586069
56999,2138.224989,1372.188094,1.411919,17.224187,18.636106
57199,2136.166286,1549.435839,1.425573,17.265481,18.691055
57399,2133.526909,1378.665314,1.427520,17.322013,18.749533
57599,2131.819082,1641.672610,1.429531,17.369281,18.798812
57799,2129.124488,1353.081516,1.431331,17.410454,18.841785
57999,2126.037263,1233.829073,1.433456,17.465316,18.898772
58199,2123.064285,1260.900663,1.449323,17.520870,18.970193
58399,2120.137226,1268.363075,1.450753,17.559487,19.010239
58599,2117.849124,1449.723357,1.452171,17.590548,19.042719
58799,2115.404000,1398.982725,1.454566,17.641550,19.096116
58999,2112.397182,1228.392608,1.456772,17.685278,19.142050
59199,2110.002868,1403.680218,1.472543,17.726290,19.198832
59399,2107.355385,1323.700505,1.474443,17.779143,19.253585
