# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=375000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=250000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=125000.0, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=1), width=1), width=1)
# [D+RESET] AdaptiveSemiRegressorJr(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='out', pretrain_size=0, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_mse_[D+RESET],current_mse_[D+RESET],training_time_[D+RESET],testing_time_[D+RESET],total_running_time_[D+RESET]
52399,2298.832134,1968.302924,21.462299,11.423740,32.886039
52599,2297.014834,1820.882147,21.562988,11.490560,33.053548
52799,2295.771035,1968.651861,21.667225,11.548680,33.215905
52999,2292.487579,1425.655260,21.736076,11.593443,33.329519
53199,2289.785153,1573.642343,21.822242,11.648869,33.471111
53399,2287.733033,1741.869025,21.892924,11.697938,33.590862
53599,2284.904164,1529.596215,21.983539,11.762303,33.745842
53799,2282.768622,1710.443304,22.089309,11.818963,33.908271
53999,2280.802913,1752.027187,22.173175,11.878892,34.052066
54199,2278.214614,1579.373849,22.269085,11.955577,34.224662
54399,2277.599253,2110.836346,22.375977,12.044276,34.420253
54599,2276.214880,1899.665443,22.488654,12.135918,34.624572
54799,2275.361468,2042.380014,22.635898,12.217029,34.852927
54999,2272.852507,1585.397182,22.703424,12.257623,34.961047
55199,2269.984794,1481.363690,22.805681,12.324463,35.130144
55399,2267.152274,1485.376846,22.887278,12.382102,35.269380
55599,2266.091497,1972.256347,22.967057,12.432324,35.399381
55799,2264.084102,1706.028342,23.104215,12.522316,35.626531
55999,2263.486726,2096.818660,23.193129,12.586988,35.780117
56199,2261.632522,1742.455467,23.273237,12.649260,35.922497
56399,2259.668651,1707.820937,23.346787,12.701804,36.048591
56599,2257.994707,1785.942379,23.459148,12.812634,36.271782
56799,2255.877638,1656.747328,23.581748,12.886632,36.468380
56999,2254.821941,1955.003730,23.699726,13.044868,36.744594
57199,2253.617820,1910.443469,23.757065,13.079812,36.836876
57399,2252.321863,1881.678121,23.832823,13.129587,36.962409
57599,2251.394264,1985.173285,23.909799,13.184047,37.093846
57799,2249.494997,1702.506297,24.002755,13.231886,37.234642
57999,2247.864371,1776.613413,24.073547,13.281183,37.354730
58199,2247.104081,2026.619943,24.157726,13.344639,37.502365
58399,2245.156423,1678.387848,24.227440,13.386583,37.614023
58599,2244.487757,2049.237246,24.294635,13.426006,37.720641
58799,2243.005810,1808.795357,24.388413,13.467902,37.856315
58999,2241.574768,1820.848408,24.450180,13.508156,37.958336
59199,2239.535821,1638.046515,24.519684,13.552157,38.071841
59399,2237.591621,1662.108366,24.592017,13.600008,38.192026
59599,2236.313578,1856.734841,24.686232,13.687562,38.373794
59799,2235.146155,1887.254047,24.774880,13.731832,38.506712
59999,2233.179387,1645.115959,24.845156,13.778999,38.624156
60199,2231.670368,1778.964497,24.938588,13.854364,38.792952
60399,2230.934213,2009.351547,25.010470,13.900524,38.910994
60599,2229.685153,1852.469011,25.078922,13.943387,39.022309
60799,2228.191781,1775.700164,25.172065,13.986120,39.158185
60999,2226.540897,1724.672081,25.248589,14.035026,39.283615
61199,2225.831834,2009.567740,25.327656,14.083022,39.410677
61399,2224.562353,1836.101228,25.401368,14.127113,39.528481
61599,2222.557776,1607.152613,25.464864,14.164265,39.629129
61799,2221.791439,1985.759603,25.556765,14.208751,39.765515
61999,2220.686026,1879.113370,25.630221,14.267163,39.897384
62199,2218.613382,1576.093853,25.716726,14.339357,40.056084
62399,2216.335600,1507.945198,25.792162,14.386387,40.178549
62599,2215.617649,1991.616991,25.863093,14.429615,40.292708
62799,2213.539489,1563.075566,25.947773,14.468300,40.416073
62999,2212.146212,1774.657283,26.014900,14.509198,40.524098
63199,2211.185788,1908.651980,26.090479,14.555373,40.645852
63399,2209.425080,1653.041544,26.181700,14.624787,40.806487
63599,2206.870013,1396.913725,26.267344,14.680400,40.947744
63799,2206.069810,1951.605354,26.383748,14.733830,41.117578
63999,2206.676323,2400.153695,26.449555,14.774231,41.223786
64199,2204.980193,1662.218717,26.519706,14.818359,41.338065
64399,2204.277762,1978.797522,26.578833,14.852984,41.431817
64599,2203.239447,1868.901873,26.641255,14.889379,41.530634
64799,2202.165313,1855.220150,26.809173,14.928501,41.737674
64999,2200.159658,1550.327431,26.881151,14.971287,41.852438
65199,2197.081682,1196.739584,26.946671,15.010970,41.957642
65399,2195.242398,1595.635761,27.016602,15.051416,42.068018
65599,2193.446266,1606.110881,27.215191,15.096902,42.312093
65799,2190.639729,1270.095858,27.449728,15.251066,42.700795
65999,2194.965672,3618.200784,27.743237,15.395487,43.138724
66199,2198.075487,3224.314466,27.945255,15.632373,43.577628
66399,2200.840781,3116.153139,28.270558,15.797319,44.067877
66599,2202.074826,2611.777772,28.454056,15.957238,44.411294
66799,2203.572590,2702.327809,28.575320,16.041543,44.616863
66999,2205.052102,2699.209262,28.832983,16.125595,44.958579
67199,2206.638489,2738.078053,28.941371,16.202420,45.143792
67399,2207.903273,2632.870654,29.049434,16.266770,45.316204
67599,2209.173003,2637.072257,29.130591,16.329428,45.460020
67799,2210.472579,2649.729247,29.209420,16.383787,45.593206
