# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=375000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=250000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=125000.0, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=1), width=1), width=1)
# [D+RESET] AdaptiveSemiRegressorJr(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# [RESET] AdaptiveSemiRegressorJULIA(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# [D] AdaptiveSemiRegressorJ(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# [semRESET] AdaptiveSemiRegressorJS(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# [HTR] HoeffdingTreeRegressor(binary_split=False, grace_period=200, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.02, max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, random_state=1, remove_poor_atts=False, split_confidence=1e-07, stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='out', pretrain_size=0, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_mse_[D+RESET],current_mse_[D+RESET],mean_mse_[RESET],current_mse_[RESET],mean_mse_[D],current_mse_[D],mean_mse_[semRESET],current_mse_[semRESET],mean_mse_[HTR],current_mse_[HTR],training_time_[D+RESET],testing_time_[D+RESET],total_running_time_[D+RESET],training_time_[RESET],testing_time_[RESET],total_running_time_[RESET],training_time_[D],testing_time_[D],total_running_time_[D],training_time_[semRESET],testing_time_[semRESET],total_running_time_[semRESET],training_time_[HTR],testing_time_[HTR],total_running_time_[HTR]
7799,8101.993717,3507.080133,8292.076802,3615.966326,7566.741961,4146.467184,7668.797132,3540.790461,7632.816546,5852.103266,4.113161,2.046099,6.159259,0.187780,1.730488,1.918268,4.222873,1.683060,5.905933,0.203198,1.721233,1.924431,1.234393,0.246250,1.480642
7999,8003.556553,4164.507169,8179.992270,3808.695516,7479.088755,4060.613723,7573.111028,3841.352988,7601.518217,6380.883376,4.184046,2.080887,6.264933,0.189799,1.764536,1.954335,4.332144,1.716228,6.048372,0.205423,1.755202,1.960625,1.270448,0.252811,1.523258
8199,7903.326212,3894.112587,8080.844538,4114.935248,7383.211883,3548.137010,7485.642678,3986.908679,7562.650141,6007.927113,4.236875,2.109644,6.346519,0.202891,1.790679,1.993570,4.443770,1.742386,6.186156,0.218049,1.781390,1.999439,1.303810,0.258136,1.561946
8399,7798.075427,3482.793234,7974.257511,3604.189389,7304.104321,4060.694263,7390.288723,3480.776563,7528.254714,6118.042190,4.296094,2.141868,6.437962,0.204315,1.819030,2.023345,4.557635,1.770510,6.328146,0.219374,1.809770,2.029144,1.323114,0.264040,1.587155
8599,7708.114960,3929.775330,7888.847369,4301.621404,7220.282744,3699.776489,7314.629036,4136.922202,7453.362618,4307.894596,4.467351,2.176804,6.644155,0.206049,1.851812,2.057861,4.629647,1.802641,6.432289,0.220995,1.843886,2.064881,1.343296,0.270252,1.613548
8799,7616.702879,3685.983403,7802.537711,4091.222423,7152.013936,4216.455207,7238.184770,3951.081318,7388.626124,4604.956864,4.526511,2.207636,6.734147,0.207744,1.880174,2.087918,4.753155,1.831663,6.584817,0.222703,1.873537,2.096240,1.385106,0.276158,1.661264
8999,7530.832111,3752.518324,7716.492445,3930.500737,7094.670062,4571.539626,7159.999019,3719.825951,7352.268180,5752.518669,4.594923,2.242021,6.836944,0.209698,1.911311,2.121009,4.809549,1.861692,6.671241,0.224602,1.903396,2.127999,1.418925,0.281981,1.700906
9199,7460.163178,4280.061206,7632.710114,3862.505222,7024.848453,3882.876035,7084.808991,3701.257745,7296.614623,4792.204534,4.713380,2.277332,6.990712,0.225911,1.944082,2.169994,4.872188,1.893013,6.765202,0.242443,1.932533,2.174976,1.446591,0.287652,1.734243
9399,7373.775239,3399.930047,7540.550979,3301.230764,6950.481395,3529.596715,7004.451132,3307.989608,7257.153128,5441.924367,4.780788,2.311608,7.092396,0.227289,1.974973,2.202262,4.931792,1.923332,6.855124,0.243779,1.961847,2.205626,1.467100,0.293498,1.760599
9599,7316.507567,4624.926967,7461.889787,3764.813787,6893.169100,4199.491248,6935.221398,3681.423891,7201.401850,4581.091808,4.852873,2.349952,7.202825,0.228918,2.010097,2.239015,4.996012,1.960455,6.956467,0.245301,1.996641,2.241941,1.513818,0.299867,1.813686
9799,7256.124327,4357.728827,7394.557577,4162.611497,6863.952937,5461.577104,6876.655525,4065.493662,7164.501620,5393.290578,4.904565,2.379121,7.283686,0.230591,2.036360,2.266951,5.047650,1.986209,7.033860,0.246854,2.022425,2.269279,1.539817,0.305259,1.845076
9999,7196.875695,4293.692713,7338.099053,4571.631353,6853.766569,6354.634545,6829.081112,4497.934841,7123.380076,5108.424411,5.061869,2.411761,7.473630,0.232391,2.065513,2.297905,5.151593,2.015772,7.167365,0.248638,2.052571,2.301208,1.571028,0.311113,1.882141
10199,7126.292288,3597.121913,7258.052946,3255.747632,6785.478052,3371.052211,6758.662883,3237.751424,7079.013838,4860.701956,5.124511,2.441650,7.566162,0.242766,2.093917,2.336683,5.208194,2.043120,7.251314,0.257669,2.079897,2.337565,1.589893,0.316728,1.906621
10399,7057.994321,3574.798048,7184.477739,3432.142171,6721.313049,3448.897874,6693.495319,3369.949560,7044.737297,5296.633704,5.185525,2.477738,7.663263,0.244234,2.123605,2.367838,5.267682,2.071206,7.338888,0.258996,2.108806,2.367802,1.624478,0.322433,1.946911
10599,6983.614580,3115.868030,7111.595566,3321.722557,6650.367573,2961.202809,6627.607449,3201.438239,7007.927940,5093.841377,5.319242,2.507160,7.826402,0.245665,2.150855,2.396519,5.403537,2.098349,7.501885,0.260461,2.136693,2.397154,1.657515,0.328180,1.985694
10799,6919.469417,3519.775752,7049.412777,3753.724987,6594.854163,3652.643462,6573.100284,3684.220515,6960.040845,4422.024789,5.373279,2.563793,7.937072,0.247289,2.179514,2.426803,5.455355,2.126269,7.581624,0.262134,2.163614,2.425749,1.675632,0.333805,2.009438
10999,6845.510723,2851.741250,6980.781360,3274.684837,6523.255870,2656.948025,6511.815735,3202.450128,6934.106437,5533.648399,5.430153,2.598292,8.028444,0.249111,2.211499,2.460611,5.564305,2.157762,7.722068,0.263988,2.193779,2.457768,1.696028,0.339514,2.035541
11199,6857.477606,7515.656212,6920.282696,3592.856140,6463.510627,3177.522255,6458.329486,3516.585782,6904.645712,5284.305834,5.532586,2.629743,8.162329,0.263391,2.239350,2.502741,5.697492,2.185486,7.882978,0.278706,2.221955,2.500661,1.717474,0.345373,2.062847
11399,6802.179298,3705.474020,6857.861047,3362.248694,6405.844915,3176.565058,6402.508540,3276.535549,6857.810777,4235.054447,5.632365,2.661224,8.293590,0.264786,2.268688,2.533474,5.766138,2.215338,7.981476,0.280030,2.252257,2.532287,1.789323,0.351511,2.140834
11599,6776.253659,5298.492240,6794.760345,3198.020371,6432.243942,7936.988488,6345.492926,3095.602907,6815.773161,4419.629040,5.748947,2.693467,8.442414,0.266355,2.297080,2.563435,5.870244,2.243883,8.114127,0.281687,2.281842,2.563529,1.810523,0.357586,2.168109
