# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=375000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=250000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=125000.0, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=10000.0), width=10000.0), width=10000.0)
# [D+RESET] AdaptiveSemiRegressorJr(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# [RESET] AdaptiveSemiRegressorJULIA(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# [D] AdaptiveSemiRegressorJ(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# [semRESET] AdaptiveSemiRegressorJS(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# [HTR] HoeffdingTreeRegressor(binary_split=False, grace_period=200, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.02, max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, random_state=1, remove_poor_atts=False, split_confidence=1e-07, stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='out', pretrain_size=0, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_mse_[D+RESET],current_mse_[D+RESET],mean_mse_[RESET],current_mse_[RESET],mean_mse_[D],current_mse_[D],mean_mse_[semRESET],current_mse_[semRESET],mean_mse_[HTR],current_mse_[HTR],training_time_[D+RESET],testing_time_[D+RESET],total_running_time_[D+RESET],training_time_[RESET],testing_time_[RESET],total_running_time_[RESET],training_time_[D],testing_time_[D],total_running_time_[D],training_time_[semRESET],testing_time_[semRESET],total_running_time_[semRESET],training_time_[HTR],testing_time_[HTR],total_running_time_[HTR]
7199,6895.143261,2637.725157,8587.334141,3534.745584,7312.485881,3332.091494,7616.892220,3043.374732,7793.453330,5401.096140,3.347086,1.493578,4.840664,0.147160,1.299346,1.446506,2.957647,1.300176,4.257823,0.146481,1.265956,1.412437,1.077268,0.212125,1.289392
7399,6809.875788,3740.246754,8423.061455,2509.244737,7225.167477,4081.704901,7477.247241,2450.027987,7727.063823,5337.041560,3.409397,1.523135,4.932532,0.148425,1.324969,1.473394,3.009709,1.326064,4.335773,0.147743,1.291140,1.438883,1.108574,0.217465,1.326039
7599,6723.361273,3522.324215,8278.011634,2911.168250,7125.090482,3422.241693,7353.215847,2764.054285,7679.677422,5926.380594,3.473982,1.554438,5.028421,0.150170,1.353702,1.503872,3.077903,1.354273,4.432176,0.149450,1.319104,1.468554,1.135870,0.223526,1.359396
7799,6621.361713,2745.378405,8123.079888,2235.673558,7011.120095,2680.245390,7220.018265,2158.510139,7632.816546,5852.103266,3.528048,1.584101,5.112149,0.151850,1.380054,1.531904,3.129869,1.380039,4.509908,0.151223,1.345298,1.496521,1.179557,0.229182,1.408739
7999,6537.607194,3271.180984,7995.655977,3026.123454,6919.985161,3365.722726,7112.435016,2916.688306,7601.518217,6380.883376,3.596923,1.622699,5.219622,0.153688,1.416349,1.570037,3.194906,1.414306,4.609212,0.153095,1.380726,1.533821,1.214851,0.235601,1.450452
8199,6444.246891,2709.834774,7894.049041,3829.771591,6822.275897,2913.905349,7024.742915,3517.058892,7562.650141,6007.927113,3.666330,1.656426,5.322757,0.167732,1.446213,1.613945,3.252218,1.444546,4.696763,0.170358,1.411467,1.581825,1.247771,0.241224,1.488995
8399,6353.657835,2639.506542,7796.538200,3798.593718,6733.005307,3072.911111,6944.958247,3673.786835,7528.254714,6118.042190,3.771182,1.694191,5.465372,0.169455,1.479569,1.649024,3.424138,1.477676,4.901815,0.171994,1.444240,1.616234,1.272103,0.247889,1.519992
8599,6274.871719,2965.854820,7685.372848,3016.428050,6667.622905,3921.562000,6849.579089,2843.654490,7453.362618,4307.894596,3.878649,1.725781,5.604430,0.171148,1.507407,1.678555,3.534412,1.505673,5.040086,0.173709,1.471958,1.645667,1.293229,0.253645,1.546875
8799,6233.435593,4451.682201,7581.503949,3115.141303,6616.469239,4416.861607,6761.818832,2988.127760,7388.626124,4604.956864,3.986267,1.756427,5.742695,0.173034,1.536427,1.709462,3.633528,1.533358,5.166886,0.175469,1.499455,1.674925,1.337923,0.259503,1.597425
8999,6236.691146,6379.935478,7491.873257,3548.122827,6615.566321,6575.837926,6685.710998,3336.966286,7352.268180,5752.518669,4.078213,1.789644,5.867857,0.175010,1.565200,1.740210,3.770140,1.562325,5.332465,0.177388,1.528913,1.706302,1.372918,0.265424,1.638343
9199,6190.661320,4119.319117,7434.419233,4848.988125,6562.960872,4195.715676,6641.909540,4670.843968,7296.614623,4792.204534,4.142807,1.822800,5.965607,0.192282,1.597097,1.789379,3.900206,1.593487,5.493693,0.194620,1.559938,1.754558,1.401797,0.271445,1.673243
9399,6154.365176,4484.742544,7388.896044,5294.829349,6514.567363,4288.465938,6608.719555,5081.980213,7257.153128,5441.924367,4.272578,1.869197,6.141775,0.193806,1.639212,1.833018,3.975604,1.633587,5.609191,0.196097,1.602038,1.798135,1.424364,0.278017,1.702381
9599,6110.454548,4046.655076,7337.129218,4904.088429,6462.440295,4012.468130,6571.686241,4831.120497,7201.401850,4581.091808,4.406165,1.911235,6.317400,0.195964,1.677482,1.873446,4.096348,1.672668,5.769016,0.197925,1.640517,1.838442,1.470690,0.284196,1.754886
9799,6082.347520,4733.210155,7297.492271,5394.918801,6430.963349,4920.069938,6542.810162,5156.758366,7164.501620,5393.290578,4.487638,1.945496,6.433134,0.197603,1.708675,1.906278,4.214589,1.703117,5.917706,0.199523,1.672416,1.871939,1.498122,0.289763,1.787885
