# TEST CONFIGURATION BEGIN
# HyperplaneGenerator(mag_change=0.0, n_drift_features=2, n_features=10, noise_percentage=0.05, random_state=None, sigma_percentage=0.1)
# [D+RESET] AdaptiveSemiRegressorJr(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# [RESET] AdaptiveSemiRegressorJULIA(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# [D] AdaptiveSemiRegressorJ(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# [semRESET] AdaptiveSemiRegressorJS(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# [HTR] HoeffdingTreeRegressor(binary_split=False, grace_period=200, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.02, max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, random_state=1, remove_poor_atts=False, split_confidence=1e-07, stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='out', pretrain_size=0, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_mse_[D+RESET],current_mse_[D+RESET],mean_mse_[RESET],current_mse_[RESET],mean_mse_[D],current_mse_[D],mean_mse_[semRESET],current_mse_[semRESET],mean_mse_[HTR],current_mse_[HTR],training_time_[D+RESET],testing_time_[D+RESET],total_running_time_[D+RESET],training_time_[RESET],testing_time_[RESET],total_running_time_[RESET],training_time_[D],testing_time_[D],total_running_time_[D],training_time_[semRESET],testing_time_[semRESET],total_running_time_[semRESET],training_time_[HTR],testing_time_[HTR],total_running_time_[HTR]
8199,0.211953,0.208891,0.203267,0.185487,0.216550,0.174643,0.200985,0.181712,0.146517,0.118421,4.152990,1.803314,5.956304,0.213124,1.625662,1.838786,3.520855,1.589790,5.110645,0.221221,1.617169,1.838390,1.277395,0.267799,1.545194
8399,0.211316,0.185202,0.205613,0.301810,0.215176,0.158849,0.203253,0.296226,0.146162,0.131604,4.249764,1.869993,6.119757,0.214555,1.686444,1.900999,3.589110,1.647036,5.236146,0.222653,1.668739,1.891393,1.321578,0.274352,1.595930
8599,0.210096,0.158876,0.206478,0.242779,0.213574,0.146269,0.204191,0.243614,0.146125,0.144575,4.338647,1.948851,6.287498,0.216156,1.750736,1.966892,3.735017,1.709118,5.444134,0.224358,1.726649,1.951007,1.363429,0.282068,1.645497
8799,0.208378,0.134504,0.207779,0.263719,0.212300,0.157528,0.205534,0.263257,0.145951,0.138442,4.432021,2.012930,6.444951,0.217962,1.818135,2.036097,3.813804,1.769388,5.583191,0.226265,1.804798,2.031063,1.389578,0.289479,1.679056
8999,0.207932,0.188279,0.207919,0.214086,0.211364,0.170161,0.205720,0.213894,0.145668,0.133235,4.706151,2.147745,6.853896,0.220228,1.966035,2.186263,3.910067,1.872770,5.782836,0.228547,1.889956,2.118503,1.429679,0.297296,1.726975
9199,0.208480,0.233165,0.208173,0.219627,0.210075,0.152062,0.205951,0.216355,0.145731,0.148557,4.933654,2.244846,7.178500,0.244802,2.038512,2.283314,4.106276,1.948822,6.055099,0.276891,1.967776,2.244667,1.458275,0.304946,1.763221
9399,0.210199,0.289252,0.208481,0.222639,0.210820,0.245130,0.206181,0.216757,0.145760,0.147119,5.051113,2.329852,7.380965,0.246254,2.116539,2.362794,4.305497,2.028742,6.334239,0.278474,2.033436,2.311909,1.498783,0.312105,1.810888
9599,0.210659,0.232287,0.208533,0.210995,0.211540,0.245349,0.206187,0.206496,0.145434,0.130072,5.130593,2.367804,7.498397,0.248129,2.154442,2.402571,4.364347,2.066320,6.430666,0.282356,2.071311,2.353667,1.536183,0.319250,1.855433
9799,0.210263,0.191265,0.208811,0.222134,0.212332,0.250347,0.206467,0.219889,0.145134,0.130744,5.210630,2.411734,7.622364,0.250014,2.197614,2.447628,4.446326,2.110264,6.556589,0.284063,2.114627,2.398690,1.579842,0.325943,1.905785
9999,0.210419,0.218065,0.209114,0.223955,0.212520,0.221745,0.206719,0.219047,0.145047,0.140813,5.379945,2.452869,7.832814,0.252303,2.236806,2.489109,4.544432,2.150179,6.694611,0.286896,2.153941,2.440837,1.612887,0.333275,1.946162
