# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=AGRAWALGenerator(balance_classes=False, classification_function=2, perturbation=0.0, random_state=112), position=10000, random_state=112, stream=AGRAWALGenerator(balance_classes=False, classification_function=0, perturbation=0.0, random_state=112), width=1)
# [D+RESET] AdaptiveSemiRegressorJr(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# [RESET] AdaptiveSemiRegressorJULIA(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# [D] AdaptiveSemiRegressorJ(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# [semRESET] AdaptiveSemiRegressorJS(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# [HTR] HoeffdingTreeRegressor(binary_split=False, grace_period=200, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.02, max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, random_state=1, remove_poor_atts=False, split_confidence=1e-07, stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=100000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='out', pretrain_size=0, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_mse_[D+RESET],current_mse_[D+RESET],mean_mse_[RESET],current_mse_[RESET],mean_mse_[D],current_mse_[D],mean_mse_[semRESET],current_mse_[semRESET],mean_mse_[HTR],current_mse_[HTR],training_time_[D+RESET],testing_time_[D+RESET],total_running_time_[D+RESET],training_time_[RESET],testing_time_[RESET],total_running_time_[RESET],training_time_[D],testing_time_[D],total_running_time_[D],training_time_[semRESET],testing_time_[semRESET],total_running_time_[semRESET],training_time_[HTR],testing_time_[HTR],total_running_time_[HTR]
7599,0.020811,0.035354,0.017385,0.000002,0.026365,0.035648,0.016529,0.000001,0.019906,0.005387,3.703141,1.400569,5.103711,0.139826,1.320371,1.460197,2.979247,1.298227,4.277474,0.142111,1.297339,1.439450,1.055967,0.210391,1.266358
7799,0.021199,0.035928,0.016939,0.000002,0.026577,0.034648,0.016105,0.000001,0.019522,0.004904,3.824909,1.434412,5.259321,0.141631,1.352500,1.494131,3.033921,1.330141,4.364062,0.143910,1.328500,1.472410,1.082639,0.216126,1.298765
7999,0.020710,0.001653,0.016516,0.000002,0.026871,0.038348,0.015703,0.000001,0.019180,0.005840,3.919063,1.471627,5.390690,0.143713,1.385660,1.529373,3.099443,1.362745,4.462189,0.145910,1.362700,1.508610,1.159527,0.222111,1.381638
8199,0.020214,0.000373,0.016120,0.000300,0.027125,0.037276,0.015324,0.000179,0.018831,0.004865,4.053230,1.504592,5.557822,0.151011,1.415936,1.566948,3.156746,1.392824,4.549570,0.152793,1.393531,1.546325,1.177073,0.227524,1.404597
8399,0.019744,0.000451,0.015745,0.000357,0.027500,0.042862,0.014964,0.000209,0.018500,0.004935,4.140582,1.538495,5.679077,0.152484,1.447364,1.599848,3.238411,1.422367,4.660779,0.154232,1.422373,1.576605,1.202864,0.232884,1.435748
8599,0.019836,0.023692,0.015383,0.000189,0.028170,0.056306,0.014619,0.000116,0.018204,0.005793,4.272203,1.573312,5.845515,0.154162,1.480568,1.634730,3.303315,1.454047,4.757362,0.155793,1.453680,1.609473,1.286580,0.238541,1.525120
8799,0.020144,0.033425,0.015038,0.000217,0.028217,0.030257,0.014290,0.000130,0.017925,0.005938,4.361706,1.605154,5.966860,0.155810,1.509373,1.665183,3.393367,1.482341,4.875708,0.157460,1.482571,1.640031,1.311853,0.243781,1.555634
8999,0.020317,0.027897,0.014709,0.000204,0.028390,0.035983,0.013975,0.000126,0.017647,0.005394,4.488510,1.640384,6.128895,0.157788,1.542309,1.700097,3.444369,1.513834,4.958204,0.159481,1.514597,1.674078,1.331393,0.249661,1.581054
9199,0.019880,0.000205,0.015048,0.030342,0.028271,0.022925,0.014276,0.027823,0.017386,0.005626,4.581039,1.671254,6.252293,0.169977,1.569979,1.739955,3.489240,1.541844,5.031084,0.172599,1.544127,1.716726,1.419216,0.255275,1.674491
9399,0.019459,0.000136,0.015418,0.032435,0.027685,0.000737,0.014628,0.030837,0.017123,0.005058,4.687868,1.709907,6.397775,0.171589,1.605690,1.777278,3.572076,1.576779,5.148854,0.174196,1.578669,1.752866,1.447458,0.261176,1.708634
9599,0.019059,0.000239,0.015802,0.033852,0.027158,0.002376,0.014989,0.031922,0.016865,0.004717,4.791729,1.745896,6.537625,0.173326,1.638693,1.812019,3.635668,1.609541,5.245208,0.175827,1.612404,1.788232,1.466168,0.267083,1.733251
9799,0.018921,0.012286,0.016243,0.037378,0.026774,0.008353,0.015402,0.035246,0.016646,0.006133,4.909402,1.779412,6.688814,0.175077,1.671656,1.846733,3.755575,1.641101,5.396676,0.177553,1.644169,1.821722,1.559342,0.272711,1.832053
