# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=AGRAWALGenerator(balance_classes=False, classification_function=2, perturbation=0.0, random_state=112), position=10000, random_state=112, stream=AGRAWALGenerator(balance_classes=False, classification_function=0, perturbation=0.0, random_state=112), width=1)
# [D+RESET] AdaptiveSemiRegressorJr(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# [RESET] AdaptiveSemiRegressorJULIA(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# [D] AdaptiveSemiRegressorJ(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# [semRESET] AdaptiveSemiRegressorJS(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# [HTR] HoeffdingTreeRegressor(binary_split=False, grace_period=200, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.02, max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, random_state=1, remove_poor_atts=False, split_confidence=1e-07, stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=15000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='out', pretrain_size=0, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_mse_[D+RESET],current_mse_[D+RESET],mean_mse_[RESET],current_mse_[RESET],mean_mse_[D],current_mse_[D],mean_mse_[semRESET],current_mse_[semRESET],mean_mse_[HTR],current_mse_[HTR],training_time_[D+RESET],testing_time_[D+RESET],total_running_time_[D+RESET],training_time_[RESET],testing_time_[RESET],total_running_time_[RESET],training_time_[D],testing_time_[D],total_running_time_[D],training_time_[semRESET],testing_time_[semRESET],total_running_time_[semRESET],training_time_[HTR],testing_time_[HTR],total_running_time_[HTR]
7599,0.013440,0.008305,0.020539,0.043662,0.015709,0.001888,0.016138,0.022265,0.019906,0.005387,3.158894,1.245427,4.404321,0.133705,1.147137,1.280842,2.549577,1.122499,3.672076,0.127889,1.130828,1.258717,1.064902,0.203989,1.268891
7799,0.013608,0.020007,0.021120,0.043225,0.015473,0.006504,0.016278,0.021578,0.019522,0.004904,3.245447,1.276368,4.521815,0.135233,1.174824,1.310057,2.598125,1.149910,3.748035,0.129411,1.158636,1.288047,1.090059,0.209178,1.299237
7999,0.013462,0.007753,0.021862,0.050801,0.015290,0.008128,0.016508,0.025486,0.019180,0.005840,3.327986,1.306518,4.634504,0.136935,1.202986,1.339922,2.643705,1.176881,3.820586,0.131022,1.185597,1.316619,1.170633,0.214472,1.385105
8199,0.013265,0.005408,0.021751,0.017288,0.015050,0.005469,0.016353,0.010166,0.018831,0.004865,3.397379,1.340855,4.738233,0.147146,1.237247,1.384394,2.760912,1.209701,3.970613,0.140037,1.220730,1.360767,1.187946,0.220354,1.408300
8399,0.013083,0.005608,0.021633,0.016820,0.014879,0.007863,0.016230,0.011160,0.018500,0.004935,3.530744,1.377733,4.908476,0.148446,1.274041,1.422486,2.846539,1.245560,4.092099,0.141301,1.257815,1.399117,1.213254,0.225953,1.439207
8599,0.013005,0.009731,0.021667,0.023093,0.014760,0.009752,0.016203,0.015059,0.018204,0.005793,3.597887,1.408649,5.006536,0.150000,1.303021,1.453021,2.891505,1.272913,4.164417,0.142720,1.285860,1.428579,1.297836,0.231316,1.529152
8799,0.012921,0.009319,0.021588,0.018190,0.014606,0.008005,0.016105,0.011926,0.017925,0.005938,3.660538,1.444127,5.104666,0.151787,1.334842,1.486629,2.990813,1.303998,4.294811,0.144575,1.316859,1.461433,1.326235,0.237039,1.563274
8999,0.012871,0.010654,0.021530,0.018981,0.014474,0.008657,0.016012,0.011896,0.017647,0.005394,3.817998,1.475451,5.293450,0.153599,1.363151,1.516749,3.039125,1.331700,4.370826,0.146378,1.344327,1.490706,1.343750,0.242337,1.586087
9199,0.012816,0.010358,0.021300,0.010927,0.014372,0.009763,0.015873,0.009617,0.017386,0.005626,3.903378,1.518823,5.422201,0.165270,1.403147,1.568418,3.204152,1.369200,4.573352,0.160174,1.382447,1.542621,1.437999,0.248788,1.686788
9399,0.012701,0.007407,0.021003,0.007331,0.014176,0.005191,0.015677,0.006658,0.017123,0.005058,3.997061,1.551081,5.548142,0.166725,1.433127,1.599853,3.289443,1.398351,4.687794,0.161488,1.411639,1.573127,1.465138,0.254404,1.719541
9599,0.012555,0.005698,0.020733,0.008048,0.013991,0.005301,0.015510,0.007654,0.016865,0.004717,4.092910,1.585321,5.678231,0.168337,1.463253,1.631590,3.338896,1.427297,4.766192,0.163104,1.441507,1.604611,1.484154,0.259967,1.744121
9799,0.012391,0.004506,0.020512,0.009901,0.013807,0.004970,0.015382,0.009266,0.016646,0.006133,4.163355,1.619796,5.783152,0.170161,1.494971,1.665131,3.397744,1.459236,4.856980,0.165045,1.474307,1.639352,1.586154,0.266127,1.852281
9999,0.012232,0.004440,0.020306,0.010222,0.013619,0.004373,0.015273,0.009911,0.016413,0.005026,4.294885,1.653468,5.948353,0.172004,1.526418,1.698422,3.524097,1.490220,5.014317,0.166984,1.505578,1.672562,1.611608,0.272063,1.883671
10199,0.018302,0.321779,0.029673,0.498001,0.020821,0.380968,0.024709,0.496546,0.022468,0.325203,4.519440,1.687836,6.207276,0.186654,1.558366,1.745021,3.659026,1.521086,5.180111,0.180650,1.535267,1.715917,1.630341,0.277609,1.907950
10399,0.025278,0.381100,0.038931,0.511123,0.027299,0.357676,0.034026,0.509177,0.025977,0.204919,4.649148,1.720323,6.369471,0.188172,1.588284,1.776457,3.776333,1.550411,5.326744,0.182028,1.564666,1.746694,1.739158,0.283465,2.022624
10599,0.030609,0.307793,0.048906,0.567598,0.032136,0.283646,0.044082,0.566990,0.027759,0.120432,4.723323,1.753940,6.477263,0.189763,1.619436,1.809198,3.852675,1.580982,5.433657,0.183601,1.595507,1.779108,1.754877,0.289367,2.044244
10799,0.032925,0.155650,0.058855,0.586151,0.035270,0.201369,0.054054,0.582545,0.028931,0.091041,4.853626,1.787757,6.641383,0.191541,1.650701,1.842241,3.898714,1.611481,5.510195,0.185310,1.627892,1.813203,1.773809,0.295460,2.069269
10999,0.035368,0.167308,0.066542,0.481642,0.037308,0.147374,0.061729,0.476222,0.029962,0.085662,4.929575,1.828542,6.758118,0.193541,1.686870,1.880411,4.016439,1.646713,5.663151,0.187421,1.664320,1.851741,1.791157,0.301895,2.093052
11199,0.037344,0.146020,0.068466,0.174269,0.038714,0.116045,0.063705,0.172368,0.030428,0.056042,5.044844,1.862930,6.907775,0.205855,1.719089,1.924944,4.071547,1.679910,5.751457,0.203016,1.699316,1.902332,1.807704,0.308264,2.115968
11399,0.039502,0.160352,0.069469,0.125657,0.038965,0.052979,0.064707,0.120836,0.030779,0.050450,5.178721,1.895844,7.074565,0.207357,1.749469,1.956827,4.171377,1.709827,5.881203,0.204428,1.729862,1.934290,1.837672,0.314522,2.152193
11599,0.040468,0.095552,0.070582,0.134000,0.042660,0.253311,0.065870,0.132166,0.030817,0.032936,5.244317,1.929704,7.174021,0.208914,1.780216,1.989130,4.278152,1.740612,6.018764,0.206005,1.760029,1.966034,1.860375,0.320360,2.180735
11799,0.041279,0.088330,0.071838,0.144701,0.046640,0.277454,0.067114,0.139247,0.030585,0.017159,5.341308,1.964224,7.305532,0.210566,1.811230,2.021796,4.320676,1.770785,6.091461,0.207657,1.791420,1.999077,1.879372,0.326397,2.205770
11999,0.042666,0.124446,0.072883,0.134521,0.049265,0.204162,0.068227,0.133895,0.030270,0.011698,5.505196,2.000971,7.506167,0.212701,1.844827,2.057528,4.446262,1.804476,6.250737,0.209783,1.825482,2.035266,1.899182,0.333204,2.232386
12199,0.045146,0.193967,0.073872,0.133249,0.049987,0.093293,0.068376,0.077336,0.029914,0.008542,5.578376,2.032112,7.610489,0.221750,1.873570,2.095320,4.513259,1.833559,6.346818,0.219401,1.854297,2.073698,1.916052,0.339210,2.255262
12399,0.046608,0.135814,0.074626,0.120617,0.050015,0.051744,0.068276,0.062175,0.029536,0.006492,5.641454,2.065975,7.707429,0.223255,1.904643,2.127898,4.560971,1.864522,6.425492,0.220862,1.886966,2.107828,1.947159,0.345448,2.292608
12599,0.047859,0.125402,0.075565,0.133798,0.050087,0.054536,0.068335,0.071951,0.029152,0.005315,5.709176,2.098245,7.807421,0.224821,1.934793,2.159614,4.650002,1.893977,6.543979,0.222436,1.916086,2.138522,1.969124,0.351388,2.320512
12799,0.049105,0.127624,0.076334,0.124779,0.051294,0.127316,0.068298,0.065963,0.028796,0.006391,5.771432,2.132806,7.904238,0.226637,1.966143,2.192780,4.762929,1.925961,6.688890,0.224163,1.946995,2.171157,1.986718,0.357304,2.344022
12999,0.050880,0.164467,0.077101,0.126188,0.054301,0.246762,0.068283,0.067351,0.028443,0.005857,5.840189,2.166830,8.007019,0.228502,1.996907,2.225409,4.824470,1.955573,6.780044,0.226003,1.977461,2.203464,2.004488,0.363346,2.367834
13199,0.054387,0.282350,0.076647,0.047121,0.056975,0.230759,0.067846,0.039443,0.028084,0.004756,5.900078,2.198555,8.098633,0.239595,2.026892,2.266488,4.923221,1.984975,6.908197,0.238815,2.006555,2.245370,2.031797,0.369292,2.401089
13399,0.056313,0.183384,0.076129,0.041898,0.057407,0.085916,0.067420,0.039262,0.027749,0.005640,6.026462,2.230697,8.257159,0.241018,2.057107,2.298126,5.065619,2.014751,7.080370,0.240182,2.037125,2.277308,2.061713,0.375569,2.437282
13599,0.056249,0.051985,0.075661,0.044343,0.056800,0.016188,0.067050,0.042314,0.027398,0.003860,6.166920,2.265768,8.432688,0.242682,2.088954,2.331636,5.124267,2.046436,7.170702,0.241715,2.069723,2.311438,2.094376,0.381842,2.476217
13799,0.055642,0.014393,0.075209,0.044502,0.056214,0.016324,0.066679,0.041425,0.027072,0.004881,6.283211,2.299497,8.582707,0.244408,2.119918,2.364326,5.281158,2.076276,7.357434,0.243384,2.100062,2.343446,2.111960,0.387983,2.499943
13999,0.055787,0.065783,0.074626,0.034355,0.056181,0.053947,0.066181,0.031835,0.026764,0.005520,6.473495,2.332259,8.805754,0.246291,2.150969,2.397260,5.391542,2.107315,7.498857,0.245269,2.130253,2.375522,2.129367,0.394213,2.523580
14199,0.056491,0.105747,0.075096,0.107991,0.056571,0.083877,0.066658,0.100035,0.026452,0.004633,6.612402,2.365542,8.977944,0.257151,2.181277,2.438428,5.457249,2.137123,7.594372,0.258343,2.160766,2.419110,2.147542,0.400422,2.547965
14399,0.057558,0.133306,0.075879,0.131455,0.056891,0.079546,0.067419,0.121441,0.026155,0.005089,6.680919,2.399393,9.080311,0.258660,2.212811,2.471470,5.500579,2.167801,7.668380,0.259768,2.190799,2.450567,2.177015,0.406675,2.583690
14599,0.058664,0.138293,0.076377,0.112263,0.056931,0.059848,0.067975,0.108000,0.025863,0.004838,6.839655,2.433456,9.273112,0.260369,2.242617,2.502986,5.569421,2.196559,7.765980,0.261360,2.219449,2.480808,2.220536,0.412696,2.633232
